Ultralife PE Ratio Historical Data,Ultralife PE Ratio Historical Data,Ultralife PE Ratio Historical Data,Ultralife PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.51,,10.02
2024-09-30,9.04,$0.55,16.44
2024-06-30,10.62,$0.61,17.41
2024-03-31,8.81,$0.64,13.77
2023-12-31,6.82,$0.44,15.5
2023-09-30,9.76,$0.26,37.54
2023-06-30,4.84,$0.17,28.47
2023-03-31,4.02,$-0.01,0.0
2022-12-31,3.86,$-0.00,0.0
2022-09-30,4.81,$-0.06,0.0
2022-06-30,4.55,$-0.09,0.0
2022-03-31,5.37,$-0.07,0.0
2021-12-31,6.04,$-0.02,0.0
2021-09-30,7.12,$0.18,39.56
2021-06-30,8.38,$0.25,33.52
2021-03-31,8.28,$0.30,27.6
2020-12-31,6.47,$0.33,19.61
2020-09-30,5.9,$0.30,19.67
2020-06-30,7.01,$0.33,21.24
2020-03-31,5.2,$0.37,14.05
2019-12-31,7.39,$0.33,22.39
2019-09-30,8.66,$1.44,6.01
2019-06-30,7.95,$1.47,5.41
2019-03-31,10.27,$1.43,7.18
2018-12-31,6.75,$1.53,4.41
2018-09-30,8.15,$0.56,14.55
2018-06-30,9.6,$0.54,17.78
2018-03-31,10.0,$0.51,19.61
2017-12-31,6.55,$0.49,13.37
2017-09-30,6.75,$0.36,18.75
2017-06-30,7.2,$0.36,20.0
2017-03-31,5.45,$0.32,17.03
2016-12-31,4.95,$0.23,21.52
2016-09-30,4.11,$0.15,27.4
2016-06-30,5.01,$0.15,33.4
2016-03-31,5.12,$0.17,30.12
2015-12-31,6.46,$0.18,35.89
2015-09-30,5.89,$0.20,29.45
2015-06-30,4.19,$0.11,38.09
2015-03-31,3.94,$-0.02,0.0
2014-12-31,3.13,$-0.12,0.0
2014-09-30,3.24,$-0.17,0.0
2014-06-30,3.84,$-0.11,0.0
2014-03-31,4.25,$-0.15,0.0
2013-12-31,3.55,$-0.06,0.0
2013-09-30,4.0,$0.02,200.0
2013-06-30,3.56,$0.08,44.5
2013-03-31,4.47,$0.02,223.25
2012-12-31,3.24,$-0.09,0.0
2012-09-30,3.11,$-0.07,0.0
2012-06-30,3.86,$-0.09,0.0
2012-03-31,5.18,$0.12,43.17
2011-12-31,4.02,$-0.12,0.0
2011-09-30,4.96,$-0.86,0.0
2011-06-30,4.7,$-0.68,0.0
2011-03-31,5.07,$-0.71,0.0
2010-12-31,6.61,$-0.36,0.0
2010-09-30,4.35,$0.33,13.18
2010-06-30,4.3,$0.03,143.33
2010-03-31,4.01,$-0.38,0.0
2009-12-31,4.32,$-0.55,0.0
