Tejon Ranch Co PE Ratio Historical Data,Tejon Ranch Co PE Ratio Historical Data,Tejon Ranch Co PE Ratio Historical Data,Tejon Ranch Co PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.07,,146.09
2024-12-31,15.9,$0.11,144.55
2024-09-30,17.55,0,0.0
2024-06-30,17.06,$0.06,284.33
2024-03-31,15.41,$0.03,513.67
2023-12-31,17.2,$0.13,132.31
2023-09-30,16.22,$0.14,115.86
2023-06-30,17.21,$0.53,32.47
2023-03-31,18.27,$0.49,37.29
2022-12-31,18.84,$0.58,32.48
2022-09-30,14.4,$0.64,22.5
2022-06-30,15.52,$0.27,57.48
2022-03-31,18.26,$0.41,44.54
2021-12-31,19.08,$0.21,90.86
2021-09-30,17.76,$0.08,222.0
2021-06-30,15.21,$0.09,169.0
2021-03-31,16.74,$-0.03,0.0
2020-12-31,14.45,$-0.02,0.0
2020-09-30,14.15,$0.35,40.43
2020-06-30,14.4,$0.33,43.64
2020-03-31,14.06,$0.37,38.0
2019-12-31,15.98,$0.40,39.95
2019-09-30,16.97,$0.04,424.25
2019-06-30,16.59,$0.17,97.59
2019-03-31,17.6,$0.10,176.0
2018-12-31,16.58,$0.16,103.63
2018-09-30,21.71,$0.16,135.69
2018-06-30,24.3,$0.03,810.0
2018-03-31,23.11,$0.07,330.14
2017-12-31,20.76,$-0.08,0.0
2017-09-30,21.1,$-0.10,0.0
2017-06-30,20.64,$-0.08,0.0
2017-03-31,21.89,$-0.11,0.0
2016-12-31,25.43,$0.04,635.75
2016-09-30,24.32,$0.13,187.08
2016-06-30,23.64,$0.07,337.71
2016-03-31,20.57,$0.12,171.42
2015-12-31,19.15,$0.14,136.79
2015-09-30,21.81,$0.15,145.4
2015-06-30,25.71,$0.27,95.22
2015-03-31,26.45,$0.29,91.21
2014-12-31,29.46,$0.26,113.31
2014-09-30,28.04,$0.13,215.69
2014-06-30,32.19,$0.16,201.19
2014-03-31,33.83,$0.22,153.77
2013-12-31,36.76,$0.20,183.8
2013-09-30,30.84,$0.24,128.5
2013-06-30,28.49,$0.33,86.33
2013-03-31,29.78,$0.24,124.08
2012-12-31,28.08,$0.22,127.64
2012-09-30,30.04,$0.48,62.58
2012-06-30,28.62,$0.41,69.8
2012-03-31,28.64,$0.37,77.41
2011-12-31,24.48,$0.80,30.6
2011-09-30,23.87,$0.48,49.73
2011-06-30,34.1,$0.75,45.47
2011-03-31,36.74,$0.72,51.03
2010-12-31,27.55,$0.20,137.75
2010-09-30,21.67,$0.25,86.68
2010-06-30,23.08,$-0.17,0.0
2010-03-31,30.52,$-0.20,0.0
2009-12-31,29.22,$-0.20,0.0
