UMH Properties PE Ratio Historical Data,UMH Properties PE Ratio Historical Data,UMH Properties PE Ratio Historical Data,UMH Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.51,,617.0
2024-12-31,18.88,$0.03,629.33
2024-09-30,19.45,$0.13,149.63
2024-06-30,15.64,$-0.07,0.0
2024-03-31,15.67,$-0.15,0.0
2023-12-31,14.57,$-0.15,0.0
2023-09-30,13.15,$-0.24,0.0
2023-06-30,14.8,$-0.33,0.0
2023-03-31,13.52,$-0.67,0.0
2022-12-31,14.55,$-0.67,0.0
2022-09-30,14.43,$-0.51,0.0
2022-06-30,15.62,$-0.40,0.0
2022-03-31,21.53,$0.19,113.3
2021-12-31,23.72,$0.44,53.91
2021-09-30,19.71,$0.65,30.33
2021-06-30,18.63,$0.41,45.44
2021-03-31,16.22,$0.48,33.8
2020-12-31,12.39,$-0.72,0.0
2020-09-30,11.19,$-1.18,0.0
2020-06-30,10.54,$-0.73,0.0
2020-03-31,8.71,$-1.13,0.0
2019-12-31,12.48,$0.06,207.99
2019-09-30,11.04,$-0.73,0.0
2019-06-30,9.73,$-1.18,0.0
2019-03-31,10.89,$-0.63,0.0
2018-12-31,9.04,$-1.54,0.0
2018-09-30,11.77,$-0.69,0.0
2018-06-30,11.42,$-0.53,0.0
2018-03-31,9.85,$-0.94,0.0
2017-12-31,10.79,$-0.23,0.0
2017-09-30,11.13,$-0.22,0.0
2017-06-30,12.06,$-0.09,0.0
2017-03-31,10.64,$-0.10,0.0
2016-12-31,10.4,$-0.08,0.0
2016-09-30,8.12,$-0.17,0.0
2016-06-30,7.55,$-0.18,0.0
2016-03-31,6.54,$-0.22,0.0
2015-12-31,6.54,$-0.24,0.0
2015-09-30,5.9,$-0.15,0.0
2015-06-30,6.1,$-0.18,0.0
2015-03-31,6.16,$-0.14,0.0
2014-12-31,5.73,$-0.15,0.0
2014-09-30,5.6,$-0.27,0.0
2014-06-30,5.81,$-0.27,0.0
2014-03-31,5.56,$-0.27,0.0
2013-12-31,5.26,$-0.08,0.0
2013-09-30,5.44,$0.02,271.97
2013-06-30,5.53,$0.09,61.44
2013-03-31,5.44,$0.18,30.22
2012-12-31,5.38,$0.12,44.81
2012-09-30,6.12,$0.14,43.7
2012-06-30,5.4,$0.13,41.51
2012-03-31,5.42,$0.06,90.41
2011-12-31,4.53,$0.14,32.36
2011-09-30,4.34,$0.31,14.01
2011-06-30,5.02,$0.40,12.54
2011-03-31,4.58,$0.52,8.81
2010-12-31,4.62,$0.52,8.89
2010-09-30,4.78,$0.55,8.7
2010-06-30,4.41,$0.58,7.6
2010-03-31,3.51,$0.57,6.17
2009-12-31,3.57,$0.32,11.15
