Peoples Bancorp Of North Carolina PE Ratio Historical Data,Peoples Bancorp Of North Carolina PE Ratio Historical Data,Peoples Bancorp Of North Carolina PE Ratio Historical Data,Peoples Bancorp Of North Carolina PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.68,,11.88
2024-12-31,31.25,$2.33,13.41
2024-09-30,25.24,$2.95,8.56
2024-06-30,28.84,$2.97,9.71
2024-03-31,27.33,$2.93,9.33
2023-12-31,29.97,$2.77,10.82
2023-09-30,21.16,$2.89,7.32
2023-06-30,17.33,$3.08,5.63
2023-03-31,29.97,$2.80,10.7
2022-12-31,30.41,$2.85,10.67
2022-09-30,23.02,$2.64,8.72
2022-06-30,25.04,$2.30,10.89
2022-03-31,26.28,$2.53,10.39
2021-12-31,24.97,$2.63,9.49
2021-09-30,25.54,$2.43,10.51
2021-06-30,23.07,$2.62,8.81
2021-03-31,21.01,$2.26,9.3
2020-12-31,20.32,$1.95,10.42
2020-09-30,13.54,$2.12,6.39
2020-06-30,15.37,$1.95,7.88
2020-03-31,17.56,$2.15,8.17
2019-12-31,28.02,$2.36,11.87
2019-09-30,25.23,$2.43,10.38
2019-06-30,25.39,$2.39,10.62
2019-03-31,22.36,$2.28,9.81
2018-12-31,20.38,$2.22,9.18
2018-09-30,23.92,$1.99,12.02
2018-06-30,26.45,$1.95,13.57
2018-03-31,25.27,$1.88,13.41
2017-12-31,25.13,$1.70,14.81
2017-09-30,26.41,$1.58,16.77
2017-06-30,23.34,$1.05,22.33
2017-03-31,21.84,$1.06,20.53
2016-12-31,18.36,$1.10,16.69
2016-09-30,15.31,$1.24,12.38
2016-06-30,14.23,$1.65,8.65
2016-03-31,13.42,$1.59,8.44
2015-12-31,13.9,$1.56,8.89
2015-09-30,12.52,$1.50,8.35
2015-06-30,13.07,$1.48,8.82
2015-03-31,13.12,$1.46,8.96
2014-12-31,12.74,$1.51,8.44
2014-09-30,11.97,$1.41,8.49
2014-06-30,11.26,$1.30,8.67
2014-03-31,10.96,$1.13,9.72
2013-12-31,9.93,$0.97,10.21
2013-09-30,8.63,$0.95,9.04
2013-06-30,9.0,$0.88,10.2
2013-03-31,7.77,$0.84,9.29
2012-12-31,6.31,$0.79,7.98
2012-09-30,6.89,$0.85,8.06
2012-06-30,5.47,$0.82,6.68
2012-03-31,5.55,$0.67,8.24
2011-12-31,3.73,$0.62,6.03
2011-09-30,3.16,$0.25,12.41
2011-06-30,4.3,$0.11,39.43
2011-03-31,4.48,$0.15,30.83
2010-12-31,3.52,$0.06,55.27
2010-09-30,3.23,$0.24,13.65
2010-06-30,3.19,$0.20,15.93
2010-03-31,3.94,$0.28,13.97
2009-12-31,3.26,$0.27,11.97
