Public Service Enterprise Group PE Ratio Historical Data,Public Service Enterprise Group PE Ratio Historical Data,Public Service Enterprise Group PE Ratio Historical Data,Public Service Enterprise Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.3,,23.53
2024-12-31,84.49,$3.54,23.87
2024-09-30,88.59,$4.07,21.77
2024-06-30,72.65,$3.30,22.02
2024-03-31,65.83,$3.61,18.23
2023-12-31,59.73,$5.13,11.64
2023-09-30,55.08,$5.61,9.82
2023-06-30,60.03,$5.56,10.8
2023-03-31,59.34,$4.64,12.79
2022-12-31,57.65,$2.06,27.98
2022-09-30,52.43,$1.36,38.55
2022-06-30,58.54,$-1.96,0.0
2022-03-31,64.24,$-2.57,0.0
2021-12-31,60.74,$-1.29,0.0
2021-09-30,54.99,$-1.32,0.0
2021-06-30,53.51,$2.92,18.33
2021-03-31,53.49,$4.16,12.86
2020-12-31,51.33,$3.76,13.65
2020-09-30,47.93,$3.77,12.71
2020-06-30,42.51,$3.42,12.43
2020-03-31,38.5,$2.83,13.6
2019-12-31,50.14,$3.33,15.06
2019-09-30,52.28,$2.86,18.28
2019-06-30,49.16,$2.88,17.07
2019-03-31,49.27,$3.11,15.84
2018-12-31,42.82,$2.83,15.13
2018-09-30,43.08,$4.32,9.97
2018-06-30,43.81,$4.29,10.21
2018-03-31,40.3,$3.98,10.12
2017-12-31,40.91,$3.10,13.2
2017-09-30,36.44,$1.03,35.38
2017-06-30,33.57,$0.89,37.72
2017-03-31,34.29,$1.04,32.97
2016-12-31,33.6,$1.75,19.2
2016-09-30,31.74,$2.54,12.5
2016-06-30,35.0,$2.77,12.64
2016-03-31,35.07,$3.08,11.39
2015-12-31,28.52,$3.30,8.64
2015-09-30,30.77,$3.64,8.45
2015-06-30,28.38,$3.64,7.8
2015-03-31,29.99,$3.38,8.87
2014-12-31,29.34,$2.99,9.81
2014-09-30,26.15,$2.44,10.72
2014-06-30,28.36,$2.34,12.12
2014-03-31,26.26,$2.58,10.18
2013-12-31,21.84,$2.45,8.91
2013-09-30,22.2,$2.50,8.88
2013-06-30,21.77,$2.41,9.03
2013-03-31,22.64,$2.17,10.43
2012-12-31,19.96,$2.51,7.95
2012-09-30,20.74,$2.78,7.46
2012-06-30,20.71,$2.68,7.73
2012-03-31,19.29,$2.89,6.67
2011-12-31,20.56,$2.96,6.95
2011-09-30,20.56,$2.81,7.32
2011-06-30,19.91,$3.35,5.94
2011-03-31,19.02,$3.16,6.02
2010-12-31,18.99,$3.09,6.15
2010-09-30,19.54,$3.22,6.07
2010-06-30,18.31,$3.06,5.98
2010-03-31,17.06,$3.23,5.28
2009-12-31,19.01,$3.14,6.05
