Enpro PE Ratio Historical Data,Enpro PE Ratio Historical Data,Enpro PE Ratio Historical Data,Enpro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,173.97,,50.28
2024-12-31,172.45,$3.46,49.84
2024-09-30,161.93,$2.57,63.01
2024-06-30,145.05,$2.02,71.81
2024-03-31,168.17,$-0.14,0.0
2023-12-31,155.87,$1.06,147.05
2023-09-30,120.25,$7.40,16.25
2023-06-30,132.2,$8.30,15.93
2023-03-31,102.57,$10.78,9.51
2022-12-31,107.02,$9.76,10.97
2022-09-30,83.47,$8.57,9.74
2022-06-30,80.23,$8.61,9.32
2022-03-31,95.43,$8.43,11.32
2021-12-31,107.19,$8.53,12.57
2021-09-30,84.62,$3.22,26.28
2021-06-30,94.06,$0.93,101.14
2021-03-31,82.32,$-0.79,0.0
2020-12-31,72.68,$8.93,8.14
2020-09-30,54.09,$9.46,5.72
2020-06-30,47.06,$10.34,4.55
2020-03-31,37.57,$11.80,3.18
2019-12-31,63.17,$1.84,34.33
2019-09-30,64.59,$0.63,102.52
2019-06-30,59.81,$1.87,31.99
2019-03-31,60.14,$1.19,50.53
2018-12-31,56.08,$1.14,49.19
2018-09-30,68.05,$3.28,20.75
2018-06-30,65.06,$24.61,2.64
2018-03-31,71.73,$24.55,2.92
2017-12-31,86.41,$24.27,3.56
2017-09-30,74.23,$23.06,3.22
2017-06-30,65.58,$0.85,77.15
2017-03-31,65.17,$0.61,106.84
2016-12-31,61.49,$-1.84,0.0
2016-09-30,51.69,$-1.40,0.0
2016-06-30,40.23,$-1.17,0.0
2016-03-31,52.05,$-3.00,0.0
2015-12-31,39.42,$-0.92,0.0
2015-09-30,35.08,$-1.07,0.0
2015-06-30,51.03,$-1.25,0.0
2015-03-31,58.62,$0.73,80.3
2014-12-31,55.62,$0.85,65.43
2014-09-30,53.64,$0.92,58.3
2014-06-30,64.83,$0.82,79.06
2014-03-31,64.4,$0.85,75.76
2013-12-31,51.09,$1.19,42.93
2013-09-30,53.36,$1.24,43.03
2013-06-30,44.98,$1.54,29.21
2013-03-31,45.35,$1.66,27.32
2012-12-31,36.24,$1.91,18.98
2012-09-30,31.91,$1.76,18.13
2012-06-30,33.12,$1.89,17.52
2012-03-31,36.42,$1.98,18.39
2011-12-31,29.23,$2.05,14.26
2011-09-30,26.3,$2.23,11.79
2011-06-30,42.6,$1.81,23.53
2011-03-31,32.19,$3.45,9.33
2010-12-31,36.83,$7.57,4.87
2010-09-30,27.72,$5.34,5.19
2010-06-30,24.95,$5.19,4.81
2010-03-31,25.77,$-2.30,0.0
2009-12-31,23.4,$-6.97,0.0
