First Business Financial Services PE Ratio Historical Data,First Business Financial Services PE Ratio Historical Data,First Business Financial Services PE Ratio Historical Data,First Business Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,48.56,,9.3
2024-12-31,46.29,$5.22,8.87
2024-09-30,45.35,$4.66,9.73
2024-06-30,36.58,$4.59,7.97
2024-03-31,36.82,$4.34,8.48
2023-12-31,39.08,$4.35,8.98
2023-09-30,29.04,$4.38,6.63
2023-06-30,28.35,$4.46,6.36
2023-03-31,29.08,$4.77,6.1
2022-12-31,34.62,$4.74,7.3
2022-09-30,30.44,$4.57,6.66
2022-06-30,29.22,$4.39,6.66
2022-03-31,30.56,$4.05,7.55
2021-12-31,27.01,$4.15,6.51
2021-09-30,26.43,$3.85,6.86
2021-06-30,24.76,$3.28,7.55
2021-03-31,22.47,$2.71,8.29
2020-12-31,16.59,$1.97,8.42
2020-09-30,12.76,$1.93,6.61
2020-06-30,14.52,$2.02,7.19
2020-03-31,13.55,$2.39,5.67
2019-12-31,22.86,$2.68,8.53
2019-09-30,20.78,$2.47,8.41
2019-06-30,20.15,$2.48,8.13
2019-03-31,17.17,$2.11,8.14
2018-12-31,16.61,$1.86,8.93
2018-09-30,19.6,$1.86,10.54
2018-06-30,21.85,$1.56,14.01
2018-03-31,21.03,$1.40,15.02
2017-12-31,18.39,$1.37,13.42
2017-09-30,18.8,$1.37,13.72
2017-06-30,18.95,$1.36,13.94
2017-03-31,21.21,$1.57,13.51
2016-12-31,19.27,$1.70,11.34
2016-09-30,18.98,$1.71,11.1
2016-06-30,18.85,$1.92,9.82
2016-03-31,18.33,$1.94,9.47
2015-12-31,19.88,$1.90,10.46
2015-09-30,18.61,$1.88,9.93
2015-06-30,18.46,$1.82,10.14
2015-03-31,16.94,$1.82,9.33
2014-12-31,18.68,$1.75,10.67
2014-09-30,17.04,$1.78,9.57
2014-06-30,18.16,$1.79,10.15
2014-03-31,18.14,$1.75,10.36
2013-12-31,14.39,$1.75,8.25
2013-09-30,12.43,$1.70,7.31
2013-06-30,11.37,$1.74,6.53
2013-03-31,10.15,$1.64,6.19
2012-12-31,8.62,$1.65,5.24
2012-09-30,9.02,$1.67,5.42
2012-06-30,8.47,$1.59,5.35
2012-03-31,7.07,$1.78,3.98
2011-12-31,6.12,$1.62,3.79
2011-09-30,5.88,$1.29,4.58
2011-06-30,5.42,$1.06,5.11
2011-03-31,4.28,$0.27,15.85
2010-12-31,4.88,$0.19,26.37
2010-09-30,3.35,$-0.01,0.0
2010-06-30,3.48,$0.07,49.73
2010-03-31,3.46,$0.42,8.23
2009-12-31,3.4,$0.21,16.6
