Marine Petroleum Trust PE Ratio Historical Data,Marine Petroleum Trust PE Ratio Historical Data,Marine Petroleum Trust PE Ratio Historical Data,Marine Petroleum Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.92,,12.65
2024-12-31,3.97,$0.31,12.81
2024-09-30,3.91,$0.37,10.56
2024-06-30,3.76,$0.36,10.45
2024-03-31,3.87,$0.40,9.68
2023-12-31,3.7,$0.45,8.22
2023-09-30,4.64,$0.54,8.6
2023-06-30,4.65,$0.69,6.74
2023-03-31,6.51,$0.77,8.45
2022-12-31,5.96,$0.85,7.01
2022-09-30,6.29,$0.75,8.38
2022-06-30,5.95,$0.59,10.09
2022-03-31,6.24,$0.44,14.18
2021-12-31,3.28,$0.26,12.63
2021-09-30,3.14,$0.17,18.45
2021-06-30,3.6,$0.09,40.0
2021-03-31,3.76,$0.12,31.34
2020-12-31,2.43,$0.19,12.78
2020-09-30,1.35,$0.24,5.64
2020-06-30,1.34,$0.29,4.62
2020-03-31,0.93,$0.28,3.31
2019-12-31,1.24,$0.25,4.94
2019-09-30,1.32,$0.27,4.9
2019-06-30,1.42,$0.31,4.58
2019-03-31,1.46,$0.33,4.41
2018-12-31,1.07,$0.37,2.9
2018-09-30,2.25,$0.35,6.43
2018-06-30,2.68,$0.33,8.14
2018-03-31,2.09,$0.38,5.51
2017-12-31,1.86,$0.36,5.16
2017-09-30,2.09,$0.38,5.51
2017-06-30,1.95,$0.38,5.12
2017-03-31,2.09,$0.30,6.95
2016-12-31,2.21,$0.32,6.9
2016-09-30,1.5,$0.31,4.85
2016-06-30,2.01,$0.35,5.73
2016-03-31,2.6,$0.40,6.5
2015-12-31,1.92,$0.48,4.01
2015-09-30,2.58,$0.73,3.53
2015-06-30,3.92,$0.94,4.17
2015-03-31,5.71,$1.18,4.84
2014-12-31,4.34,$1.25,3.47
2014-09-30,6.91,$1.39,4.97
2014-06-30,6.87,$1.41,4.87
2014-03-31,6.53,$1.41,4.63
2013-12-31,5.55,$1.54,3.61
2013-09-30,6.61,$1.39,4.75
2013-06-30,6.52,$1.36,4.79
2013-03-31,5.48,$1.38,3.97
2012-12-31,5.1,$1.50,3.4
2012-09-30,7.91,$1.69,4.68
2012-06-30,7.96,$1.91,4.17
2012-03-31,8.77,$1.99,4.41
2011-12-31,8.6,$1.90,4.53
2011-09-30,6.98,$1.76,3.96
2011-06-30,6.71,$1.59,4.22
2011-03-31,7.41,$1.48,5.0
2010-12-31,7.28,$1.45,5.02
2010-09-30,5.67,$1.39,4.08
2010-06-30,4.74,$1.33,3.56
2010-03-31,5.27,$1.27,4.15
2009-12-31,4.34,$1.19,3.64
