AudioCodes PE Ratio Historical Data,AudioCodes PE Ratio Historical Data,AudioCodes PE Ratio Historical Data,AudioCodes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.03,,25.08
2024-09-30,9.73,$0.40,24.33
2024-06-30,10.21,$0.45,22.68
2024-03-31,12.82,$0.36,35.62
2023-12-31,11.71,$0.28,41.82
2023-09-30,9.81,$0.39,25.15
2023-06-30,8.71,$0.42,20.74
2023-03-31,14.39,$0.60,23.98
2022-12-31,16.89,$0.87,19.42
2022-09-30,20.6,$0.86,23.95
2022-06-30,20.65,$0.93,22.2
2022-03-31,23.94,$0.96,24.93
2021-12-31,32.34,$0.99,32.67
2021-09-30,30.29,$1.01,29.99
2021-06-30,30.64,$0.97,31.58
2021-03-31,24.98,$0.94,26.57
2020-12-31,25.37,$0.82,30.94
2020-09-30,28.97,$0.30,96.57
2020-06-30,29.16,$0.24,121.52
2020-03-31,21.92,$0.19,115.35
2019-12-31,23.44,$0.12,195.35
2019-09-30,17.26,$0.55,31.37
2019-06-30,14.03,$0.55,25.51
2019-03-31,12.54,$0.47,26.69
2018-12-31,8.88,$0.45,19.74
2018-09-30,9.05,$0.32,28.27
2018-06-30,6.86,$0.21,32.66
2018-03-31,6.3,$0.16,39.39
2017-12-31,6.49,$0.12,54.06
2017-09-30,6.29,$0.54,11.65
2017-06-30,5.28,$0.54,9.78
2017-03-31,6.18,$0.53,11.66
2016-12-31,5.6,$0.48,11.66
2016-09-30,4.71,$0.11,42.79
2016-06-30,3.69,$0.08,46.17
2016-03-31,4.1,$0.06,68.31
2015-12-31,3.44,$0.06,57.3
2015-09-30,2.86,$0.01,286.47
2015-06-30,2.85,$-0.01,0.0
2015-03-31,4.05,$-0.01,0.0
2014-12-31,4.0,$-0.01,0.0
2014-09-30,4.23,$0.04,105.78
2014-06-30,6.21,$0.08,77.68
2014-03-31,6.39,$0.09,71.01
2013-12-31,6.28,$0.10,62.85
2013-09-30,6.17,$0.04,154.26
2013-06-30,3.9,$-0.01,0.0
2013-03-31,3.35,$-0.07,0.0
2012-12-31,2.84,$-0.11,0.0
2012-09-30,2.21,$-0.10,0.0
2012-06-30,1.55,$-0.08,0.0
2012-03-31,2.4,$0.06,39.96
2011-12-31,3.44,$0.17,20.22
2011-09-30,2.75,$0.28,9.82
2011-06-30,4.84,$0.36,13.44
2011-03-31,5.24,$0.32,16.39
2010-12-31,5.19,$0.29,17.9
2010-09-30,3.44,$0.19,18.09
2010-06-30,2.18,$0.13,16.75
2010-03-31,3.56,$0.06,59.35
2009-12-31,2.23,$-0.05,0.0
