Cibus PE Ratio Historical Data,Cibus PE Ratio Historical Data,Cibus PE Ratio Historical Data,Cibus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.19,,0.0
2024-09-30,3.26,$-22.48,0.0
2024-06-30,9.85,$-16.44,0.0
2024-03-31,22.46,$-18.35,0.0
2023-12-31,19.64,$-22.68,0.0
2023-09-30,18.22,$-13.09,0.0
2023-06-30,10.5,$-18.00,0.0
2023-03-31,17.0,$-17.45,0.0
2022-12-31,7.38,$-18.50,0.0
2022-09-30,8.6,$-24.50,0.0
2022-06-30,12.08,$-28.00,0.0
2022-03-31,52.0,$-32.00,0.0
2021-12-31,106.5,$-39.00,0.0
2021-09-30,168.5,$-48.50,0.0
2021-06-30,201.0,$-53.00,0.0
2021-03-31,301.0,$-63.00,0.0
2020-12-31,211.0,$-66.50,0.0
2020-09-30,274.5,$-66.50,0.0
2020-06-30,246.5,$-68.00,0.0
2020-03-31,166.5,$-66.00,0.0
2019-12-31,350.5,$-60.50,0.0
2019-09-30,282.0,$-55.00,0.0
2019-06-30,624.0,$-50.50,0.0
2019-03-31,879.5,$-48.50,0.0
2018-12-31,518.0,$-45.00,0.0
2018-09-30,763.5,$-44.00,0.0
2018-06-30,933.5,$-58.00,0.0
