DHI PE Ratio Historical Data,DHI PE Ratio Historical Data,DHI PE Ratio Historical Data,DHI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.62,,162.0
2024-12-31,1.77,$0.01,177.0
2024-09-30,1.84,$0.04,46.0
2024-06-30,2.09,$0.06,34.83
2024-03-31,2.55,$0.04,63.75
2023-12-31,2.59,$0.08,32.38
2023-09-30,3.06,$0.08,38.25
2023-06-30,3.83,$0.04,95.75
2023-03-31,3.88,$0.07,55.43
2022-12-31,5.29,$0.09,58.78
2022-09-30,5.38,$0.04,134.5
2022-06-30,4.97,$0.01,0.0
2022-03-31,5.95,$-0.66,0.0
2021-12-31,6.24,$-0.64,0.0
2021-09-30,4.76,$-0.60,0.0
2021-06-30,3.38,$-1.12,0.0
2021-03-31,3.35,$-0.44,0.0
2020-12-31,2.22,$-0.62,0.0
2020-09-30,2.26,$-0.59,0.0
2020-06-30,2.1,$0.06,35.0
2020-03-31,2.16,$0.08,27.0
2019-12-31,3.01,$0.24,12.54
2019-09-30,3.85,$0.23,16.74
2019-06-30,3.57,$0.17,21.0
2019-03-31,2.43,$0.11,22.09
2018-12-31,1.52,$0.15,10.13
2018-09-30,2.1,$0.33,6.36
2018-06-30,2.35,$0.33,7.12
2018-03-31,1.6,$0.37,4.32
2017-12-31,1.9,$0.33,5.76
2017-09-30,2.6,$0.20,13.0
2017-06-30,2.85,$-0.17,0.0
2017-03-31,3.95,$-0.11,0.0
2016-12-31,6.25,$-0.12,0.0
2016-09-30,7.89,$-0.79,0.0
2016-06-30,6.23,$-0.32,0.0
2016-03-31,8.07,$-0.31,0.0
2015-12-31,9.17,$-0.24,0.0
2015-09-30,7.31,$0.44,16.61
2015-06-30,8.89,$0.50,17.78
2015-03-31,8.92,$0.52,17.15
2014-12-31,10.01,$0.51,19.63
2014-09-30,8.38,$0.28,29.93
2014-06-30,7.61,$0.22,34.59
2014-03-31,7.46,$0.22,33.91
2013-12-31,7.25,$0.26,27.88
2013-09-30,8.51,$0.52,16.37
2013-06-30,9.21,$0.57,16.16
2013-03-31,10.13,$0.58,17.47
2012-12-31,9.18,$0.59,15.56
2012-09-30,8.42,$0.59,14.27
2012-06-30,9.39,$0.55,17.07
2012-03-31,9.33,$0.52,17.94
2011-12-31,8.29,$0.48,17.27
2011-09-30,7.82,$0.41,19.07
2011-06-30,13.52,$0.37,36.54
2011-03-31,15.11,$0.31,48.74
2010-12-31,14.35,$0.27,53.15
2010-09-30,8.48,$0.25,33.92
2010-06-30,6.92,$0.21,32.95
2010-03-31,7.6,$0.20,38.0
2009-12-31,6.55,$0.21,31.19
