JBG SMITH Properties PE Ratio Historical Data,JBG SMITH Properties PE Ratio Historical Data,JBG SMITH Properties PE Ratio Historical Data,JBG SMITH Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.83,,0.0
2024-12-31,15.37,$-1.67,0.0
2024-09-30,17.3,$-1.30,0.0
2024-06-30,14.92,$-1.56,0.0
2024-03-31,15.54,$-1.39,0.0
2023-12-31,16.29,$-0.84,0.0
2023-09-30,13.62,$-0.66,0.0
2023-06-30,13.95,$-0.25,0.0
2023-03-31,13.75,$0.87,15.81
2022-12-31,17.33,$0.68,25.49
2022-09-30,16.56,$0.40,41.41
2022-06-30,20.88,$0.57,36.64
2022-03-31,25.58,$-0.48,0.0
2021-12-31,25.13,$-0.64,0.0
2021-09-30,25.52,$-0.55,0.0
2021-06-30,26.96,$-0.73,0.0
2021-03-31,27.0,$-0.98,0.0
2020-12-31,26.56,$-0.50,0.0
2020-09-30,22.37,$0.11,203.36
2020-06-30,24.54,$0.35,70.13
2020-03-31,26.23,$0.60,43.71
2019-12-31,32.87,$0.48,68.47
2019-09-30,31.94,$0.22,145.18
2019-06-30,31.86,$0.35,91.02
2019-03-31,33.3,$0.55,60.55
2018-12-31,28.04,$0.31,90.44
2018-09-30,29.22,$0.17,171.87
2018-06-30,28.76,$-0.63,0.0
