Trevi Therapeutics PE Ratio Historical Data,Trevi Therapeutics PE Ratio Historical Data,Trevi Therapeutics PE Ratio Historical Data,Trevi Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.61,,0.0
2024-12-31,4.12,$-0.36,0.0
2024-09-30,3.34,$-0.44,0.0
2024-06-30,2.98,$-0.39,0.0
2024-03-31,3.45,$-0.34,0.0
2023-12-31,1.34,$-0.29,0.0
2023-09-30,2.18,$-0.27,0.0
2023-06-30,2.39,$-0.31,0.0
2023-03-31,1.85,$-0.38,0.0
2022-12-31,1.93,$-0.56,0.0
2022-09-30,1.54,$-0.78,0.0
2022-06-30,2.81,$-1.00,0.0
2022-03-31,2.2,$-1.35,0.0
2021-12-31,0.78,$-1.54,0.0
2021-09-30,1.4,$-1.78,0.0
2021-06-30,2.25,$-1.85,0.0
2021-03-31,2.71,$-1.77,0.0
2020-12-31,2.42,$-1.82,0.0
2020-09-30,4.03,$-1.49,0.0
2020-06-30,6.58,$-1.49,0.0
2020-03-31,3.29,$-1.71,0.0
