Cosan S.A PE Ratio Historical Data,Cosan S.A PE Ratio Historical Data,Cosan S.A PE Ratio Historical Data,Cosan S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.55,,23.13
2024-09-30,9.56,$0.24,39.83
2024-06-30,9.74,$0.51,19.1
2024-03-31,12.95,$1.79,7.23
2023-09-30,13.59,$2.05,6.63
2021-06-30,18.26,$1.83,9.98
2020-12-31,17.5,$2.09,8.37
2020-09-30,14.1,$0.90,15.67
2020-06-30,14.3,$1.31,10.92
2020-03-31,11.6,$1.45,8.0
2019-12-31,21.53,$1.02,21.11
2019-09-30,14.05,$1.89,7.43
2019-06-30,12.6,$1.36,9.26
2019-03-31,10.93,$1.17,9.34
2018-12-31,8.3,$1.09,7.61
2018-09-30,6.35,$0.62,10.23
2018-06-30,7.19,$0.84,8.56
2018-03-31,9.8,$0.74,13.24
2017-12-31,9.15,$0.62,14.75
2017-09-30,7.66,$0.22,34.84
2017-06-30,6.04,$0.11,54.94
2017-03-31,7.98,$0.19,42.0
2016-12-31,7.02,$0.31,22.64
2016-09-30,6.68,$0.77,8.68
2016-06-30,6.08,$0.63,9.66
2016-03-31,4.6,$0.66,6.97
2015-12-31,3.45,$0.52,6.63
2015-09-30,2.7,$0.09,30.01
2015-06-30,5.76,$0.07,82.23
2015-03-31,5.91,$0.06,98.58
2014-12-31,7.24,$0.26,27.85
2014-09-30,9.91,$0.23,43.09
2014-06-30,12.49,$0.42,29.74
2014-03-31,10.37,$0.16,64.8
2013-12-31,12.48,$0.03,415.92
2013-09-30,13.98,$0.39,35.84
2013-06-30,14.37,$0.51,28.17
2013-03-31,17.34,$0.69,25.13
2012-12-31,15.39,$0.63,24.43
2012-09-30,14.1,$0.39,36.16
2012-06-30,10.81,$0.07,154.44
2012-03-31,12.65,$2.40,5.27
2011-12-31,9.34,$2.40,3.89
2011-09-30,8.07,$2.28,3.54
2011-06-30,10.21,$2.28,4.48
2011-03-31,10.72,$-0.04,0.0
2010-12-31,11.32,$-0.04,0.0
2010-09-30,9.63,$-0.04,0.0
2010-06-30,7.57,$-0.04,0.0
2010-03-31,7.64,0,0.0
2009-12-31,7.05,0,0.0
