LIZHI INC PE Ratio Historical Data,LIZHI INC PE Ratio Historical Data,LIZHI INC PE Ratio Historical Data,LIZHI INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.26,,0.0
2024-06-30,2.07,$-1.21,0.0
2023-12-31,2.74,$0.09,30.44
2023-09-30,3.86,$0.99,3.9
2023-06-30,9.1,$3.00,3.03
2023-03-31,7.54,$3.20,2.36
2022-12-31,6.3,$2.40,2.63
2022-09-30,5.89,$1.80,3.27
2022-06-30,11.6,$0.20,58.0
2022-03-31,15.2,$-1.20,0.0
2021-12-31,18.5,$-4.00,0.0
2021-09-30,31.7,$-4.50,0.0
2021-06-30,73.3,$-3.60,0.0
2021-03-31,91.5,$-3.40,0.0
2020-12-31,38.8,$-8.60,0.0
