Research Frontiers PE Ratio Historical Data,Research Frontiers PE Ratio Historical Data,Research Frontiers PE Ratio Historical Data,Research Frontiers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.25,,0.0
2024-12-31,1.71,$-0.03,0.0
2024-09-30,2.19,$-0.03,0.0
2024-06-30,1.84,$-0.04,0.0
2024-03-31,1.3,$-0.05,0.0
2023-12-31,1.01,$-0.05,0.0
2023-09-30,1.08,$-0.05,0.0
2023-06-30,1.6,$-0.06,0.0
2023-03-31,1.71,$-0.07,0.0
2022-12-31,1.91,$-0.08,0.0
2022-09-30,2.13,$-0.12,0.0
2022-06-30,1.74,$-0.10,0.0
2022-03-31,1.92,$-0.10,0.0
2021-12-31,1.72,$-0.10,0.0
2021-09-30,2.56,$-0.10,0.0
2021-06-30,2.37,$-0.11,0.0
2021-03-31,2.84,$-0.10,0.0
2020-12-31,2.81,$-0.10,0.0
2020-09-30,2.7,$-0.08,0.0
2020-06-30,4.06,$-0.08,0.0
2020-03-31,2.34,$-0.12,0.0
2019-12-31,3.01,$-0.13,0.0
2019-09-30,3.2,$-0.11,0.0
2019-06-30,3.33,$-0.13,0.0
2019-03-31,2.16,$-0.10,0.0
2018-12-31,1.56,$-0.10,0.0
2018-09-30,1.57,$-0.11,0.0
2018-06-30,0.82,$-0.09,0.0
2018-03-31,0.98,$-0.09,0.0
2017-12-31,1.04,$-0.10,0.0
2017-09-30,1.19,$-0.13,0.0
2017-06-30,1.29,$-0.14,0.0
2017-03-31,1.4,$-0.17,0.0
2016-12-31,1.82,$-0.18,0.0
2016-09-30,2.59,$-0.20,0.0
2016-06-30,3.65,$-0.21,0.0
2016-03-31,4.56,$-0.18,0.0
2015-12-31,5.21,$-0.18,0.0
2015-09-30,5.07,$-0.16,0.0
2015-06-30,5.34,$-0.16,0.0
2015-03-31,6.1,$-0.18,0.0
2014-12-31,5.12,$-0.18,0.0
2014-09-30,5.75,$-0.23,0.0
2014-06-30,6.06,$-0.24,0.0
2014-03-31,5.19,$-0.23,0.0
2013-12-31,5.78,$-0.25,0.0
2013-09-30,4.24,$-0.16,0.0
2013-06-30,3.98,$-0.16,0.0
2013-03-31,3.68,$-0.17,0.0
2012-12-31,3.74,$-0.14,0.0
2012-09-30,4.45,$-0.16,0.0
2012-06-30,3.12,$-0.16,0.0
2012-03-31,3.54,$-0.17,0.0
2011-12-31,3.39,$-0.22,0.0
2011-09-30,3.78,$-0.22,0.0
2011-06-30,4.57,$-0.22,0.0
2011-03-31,6.82,$-0.21,0.0
2010-12-31,5.29,$-0.22,0.0
2010-09-30,3.96,$-0.22,0.0
2010-06-30,4.45,$-0.23,0.0
2010-03-31,2.79,$-0.24,0.0
2009-12-31,3.79,$-0.24,0.0
