Standard Lithium PE Ratio Historical Data,Standard Lithium PE Ratio Historical Data,Standard Lithium PE Ratio Historical Data,Standard Lithium PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,2.22
2024-09-30,1.61,$0.59,2.73
2024-06-30,1.25,$0.58,2.16
2024-03-31,1.18,$-0.23,0.0
2023-12-31,2.02,$-0.22,0.0
2023-09-30,2.83,$-0.21,0.0
2023-06-30,4.5,$-0.18,0.0
2023-03-31,3.8,$-0.10,0.0
2022-12-31,2.95,$-0.13,0.0
2022-09-30,4.33,$-0.15,0.0
2022-06-30,4.24,$-0.20,0.0
