Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,150.82,,21.48
2024-12-31,139.27,$7.02,19.84
2024-09-30,137.91,$6.87,20.07
2024-06-30,115.27,$6.81,16.93
2024-03-31,116.63,$6.67,17.49
2023-12-31,112.91,$6.30,17.92
2023-09-30,102.46,$6.13,16.71
2023-06-30,111.82,$5.84,19.15
2023-03-31,107.31,$5.82,18.44
2022-12-31,106.35,$5.71,18.63
2022-09-30,96.06,$5.66,16.97
2022-06-30,105.12,$5.52,19.04
2022-03-31,111.37,$5.38,20.7
2021-12-31,97.03,$5.31,18.27
2021-09-30,81.1,$5.16,15.72
2021-06-30,87.81,$5.32,16.51
2021-03-31,89.75,$5.50,16.32
2020-12-31,86.07,$5.15,16.71
2020-09-30,85.66,$4.91,17.45
2020-06-30,88.73,$4.87,18.22
2020-03-31,87.9,$4.59,19.15
2019-12-31,98.61,$4.46,22.11
2019-09-30,99.87,$4.37,22.85
2019-06-30,92.12,$4.23,21.78
2019-03-31,89.36,$4.19,21.33
2018-12-31,80.08,$3.97,20.17
2018-09-30,80.67,$5.48,14.72
2018-06-30,77.03,$5.47,14.08
2018-03-31,71.58,$5.50,13.01
2017-12-31,72.55,$5.45,13.31
2017-09-30,70.43,$3.75,18.78
2017-06-30,69.33,$3.74,18.54
2017-03-31,65.65,$3.76,17.46
2016-12-31,61.28,$3.59,17.07
2016-09-30,61.16,$3.40,17.99
2016-06-30,66.41,$3.30,20.13
2016-03-31,60.3,$3.16,19.08
2015-12-31,50.88,$3.13,16.26
2015-09-30,46.65,$3.09,15.1
2015-06-30,40.83,$3.09,13.21
2015-03-31,43.71,$2.99,14.62
2014-12-31,43.74,$3.02,14.48
2014-09-30,37.16,$3.01,12.34
2014-06-30,41.29,$2.86,14.44
2014-03-31,36.18,$2.83,12.78
2013-12-31,34.58,$2.72,12.71
2013-09-30,32.16,$2.65,12.14
2013-06-30,30.75,$2.66,11.56
2013-03-31,31.72,$2.58,12.29
2012-12-31,25.86,$2.51,10.3
2012-09-30,26.08,$2.38,10.96
2012-06-30,25.31,$2.31,10.95
2012-03-31,22.46,$1.96,11.46
2011-12-31,23.55,$2.21,10.66
2011-09-30,22.67,$2.27,9.99
2011-06-30,22.99,$2.27,10.13
2011-03-31,23.34,$2.25,10.37
2010-12-31,21.14,$2.03,10.41
2010-09-30,19.6,$2.22,8.83
2010-06-30,17.9,$2.03,8.82
2010-03-31,18.68,$2.08,8.98
2009-12-31,18.98,$2.26,8.4
