Paycor HCM PE Ratio Historical Data,Paycor HCM PE Ratio Historical Data,Paycor HCM PE Ratio Historical Data,Paycor HCM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.38,,0.0
2024-12-31,18.57,$-0.12,0.0
2024-09-30,14.19,$-0.26,0.0
2024-06-30,12.7,$-0.34,0.0
2024-03-31,19.44,$-0.41,0.0
2023-12-31,21.59,$-0.48,0.0
2023-09-30,22.83,$-0.49,0.0
2023-06-30,23.67,$-0.54,0.0
2023-03-31,26.52,$-0.51,0.0
2022-12-31,24.47,$-0.57,0.0
2022-09-30,29.56,$-0.56,0.0
2022-06-30,26.0,$-0.71,0.0
