Annovis Bio PE Ratio Historical Data,Annovis Bio PE Ratio Historical Data,Annovis Bio PE Ratio Historical Data,Annovis Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.8,,0.0
2024-09-30,8.06,$-4.46,0.0
2024-06-30,5.76,$-5.12,0.0
2024-03-31,11.9,$-5.75,0.0
2023-12-31,18.7,$-6.22,0.0
2023-09-30,9.49,$-4.27,0.0
2023-06-30,14.29,$-3.57,0.0
2023-03-31,15.41,$-3.57,0.0
2022-12-31,13.43,$-3.10,0.0
2022-09-30,13.7,$-3.47,0.0
2022-06-30,11.34,$-2.89,0.0
2022-03-31,13.35,$-2.16,0.0
2021-12-31,17.58,$-1.90,0.0
2021-09-30,31.75,$-1.41,0.0
2021-06-30,85.58,$-1.21,0.0
2021-03-31,27.9,$-1.21,0.0
2020-12-31,7.54,$-0.85,0.0
