Kearny Financial PE Ratio Historical Data,Kearny Financial PE Ratio Historical Data,Kearny Financial PE Ratio Historical Data,Kearny Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.45,,0.0
2024-12-31,7.08,$-1.13,0.0
2024-09-30,6.78,$-1.45,0.0
2024-06-30,5.96,$-1.39,0.0
2024-03-31,6.12,$0.25,24.48
2023-12-31,8.39,$0.29,28.92
2023-09-30,6.38,$0.54,11.82
2023-06-30,6.41,$0.63,10.18
2023-03-31,7.27,$0.61,11.92
2022-12-31,8.99,$0.70,12.84
2022-09-30,9.29,$0.93,9.99
2022-06-30,9.63,$0.94,10.25
2022-03-31,11.06,$1.01,10.96
2021-12-31,11.29,$0.96,11.76
2021-09-30,10.51,$0.90,11.67
2021-06-30,10.02,$0.77,13.01
2021-03-31,10.05,$0.70,14.36
2020-12-31,8.72,$0.61,14.29
2020-09-30,5.91,$0.54,10.94
2020-06-30,6.63,$0.54,12.28
2020-03-31,6.9,$0.47,14.68
2019-12-31,11.03,$0.49,22.51
2019-09-30,10.35,$0.48,21.55
2019-06-30,10.49,$0.47,22.33
2019-03-31,10.12,$0.45,22.48
2018-12-31,10.03,$0.39,25.73
2018-09-30,10.67,$0.29,36.8
2018-06-30,10.33,$0.24,43.06
2018-03-31,9.96,$0.21,47.43
2017-12-31,11.05,$0.19,58.14
2017-09-30,11.62,$0.23,50.52
2017-06-30,11.22,$0.21,53.42
2017-03-31,11.34,$0.21,54.02
2016-12-31,11.7,$0.21,55.71
2016-09-30,10.23,$0.19,53.82
2016-06-30,9.44,$0.17,55.52
2016-03-31,9.25,$0.08,115.64
2015-12-31,9.48,$0.07,128.91
2015-09-30,8.56,$0.06,155.15
2015-06-30,8.32,$0.05,153.47
2015-03-31,10.12,$0.12,82.16
2014-12-31,10.25,$0.10,101.07
2014-09-30,9.94,$0.12,85.72
2014-06-30,11.28,$0.12,97.36
2014-03-31,11.02,$0.11,101.44
2013-12-31,8.67,$0.11,79.82
2013-09-30,7.62,$0.09,87.66
2013-06-30,7.82,$0.08,98.22
2013-03-31,7.6,$0.07,105.01
2012-12-31,7.27,$0.07,111.46
2012-09-30,7.26,$0.06,125.38
2012-06-30,7.22,$0.06,124.74
2012-03-31,7.27,$0.08,87.13
2011-12-31,7.05,$0.10,71.23
2011-09-30,6.52,$0.09,71.11
2011-06-30,6.68,$0.08,79.08
2011-03-31,7.32,$0.07,110.53
2010-12-31,6.24,$0.06,107.82
2010-09-30,6.37,$0.08,80.06
2010-06-30,6.57,$0.08,82.59
2010-03-31,7.45,$0.07,102.84
2009-12-31,7.15,$0.07,109.73
