Synchronoss Technologies PE Ratio Historical Data,Synchronoss Technologies PE Ratio Historical Data,Synchronoss Technologies PE Ratio Historical Data,Synchronoss Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.17,,0.0
2024-12-31,9.6,$-0.32,0.0
2024-09-30,14.89,$-3.88,0.0
2024-06-30,9.3,$-3.86,0.0
2024-03-31,8.35,$-5.04,0.0
2023-12-31,6.21,$-6.62,0.0
2023-09-30,8.64,$-4.68,0.0
2023-06-30,8.36,$-4.23,0.0
2023-03-31,8.46,$-2.52,0.0
2022-12-31,5.56,$-1.80,0.0
2022-09-30,10.26,$-0.36,0.0
2022-06-30,10.35,$-1.26,0.0
2022-03-31,15.57,$-6.66,0.0
2021-12-31,21.96,$-10.80,0.0
2021-09-30,21.6,$-12.96,0.0
2021-06-30,32.31,$-15.21,0.0
2021-03-31,32.13,$-12.51,0.0
2020-12-31,42.3,$-10.35,0.0
2020-09-30,27.09,$-11.25,0.0
2020-06-30,31.77,$-23.31,0.0
2020-03-31,27.45,$-26.64,0.0
2019-12-31,42.75,$-30.15,0.0
2019-09-30,48.6,$-49.96,0.0
2019-06-30,71.19,$-47.07,0.0
2019-03-31,54.72,$-52.38,0.0
2018-12-31,55.26,$-54.81,0.0
2018-09-30,63.0,$-31.77,0.0
2018-06-30,63.0,$-19.35,0.0
2018-03-31,94.95,$-8.55,0.0
2017-12-31,80.46,0,0.0
2017-09-30,83.97,$4.95,16.96
2017-06-30,148.05,$6.39,23.17
2017-03-31,219.6,$5.49,40.0
2016-12-31,344.7,$3.96,87.04
2016-09-30,370.62,$0.09,4122.58
2016-06-30,286.74,$0.45,637.2
2016-03-31,291.06,$4.23,68.8
2015-12-31,317.07,$7.83,40.49
2015-09-30,295.2,$9.45,31.23
2015-06-30,411.57,$9.63,42.73
2015-03-31,427.14,$8.55,49.95
2014-12-31,376.74,$8.19,45.99
2014-09-30,412.02,$9.00,45.77
2014-06-30,314.64,$7.83,40.18
2014-03-31,308.61,$6.84,45.11
2013-12-31,279.63,$5.22,53.56
2013-09-30,342.54,$2.52,135.91
2013-06-30,277.83,$3.15,88.19
2013-03-31,279.27,$5.13,54.43
2012-12-31,189.81,$6.30,30.13
2012-09-30,206.1,$7.38,27.92
2012-06-30,166.23,$6.75,24.62
2012-03-31,287.28,$4.50,63.83
2011-12-31,271.89,$3.24,83.91
2011-09-30,224.19,$0.54,415.09
2011-06-30,285.57,$0.18,1586.5
2011-03-31,312.75,$0.45,695.0
2010-12-31,240.39,$1.26,190.77
2010-09-30,160.29,$3.33,48.13
2010-06-30,170.73,$3.78,45.16
2010-03-31,174.06,$3.69,47.17
2009-12-31,142.29,$3.51,40.53
