Banc Of California PE Ratio Historical Data,Banc Of California PE Ratio Historical Data,Banc Of California PE Ratio Historical Data,Banc Of California PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.09,,25.16
2024-12-31,15.46,$0.56,27.61
2024-09-30,14.64,$-4.27,0.0
2024-06-30,12.62,$-3.52,0.0
2024-03-31,14.9,$-3.33,0.0
2023-12-31,13.06,$-3.16,0.0
2023-09-30,11.96,$1.75,6.83
2023-06-30,11.1,$1.41,7.87
2023-03-31,11.91,$1.53,7.79
2022-12-31,15.04,$1.88,8.0
2022-09-30,15.02,$1.59,9.44
2022-06-30,16.51,$1.61,10.25
2022-03-31,18.08,$1.52,11.89
2021-12-31,18.26,$0.98,18.64
2021-09-30,17.16,$1.26,13.62
2021-06-30,16.22,$1.08,15.02
2021-03-31,16.66,$0.30,55.54
2020-12-31,13.52,$-0.04,0.0
2020-09-30,9.26,$-0.19,0.0
2020-06-30,9.86,$-0.88,0.0
2020-03-31,7.24,$-0.21,0.0
2019-12-31,15.48,$0.03,515.9
2019-09-30,12.69,$-0.04,0.0
2019-06-30,12.49,$0.48,26.02
2019-03-31,12.32,$0.43,28.65
2018-12-31,11.74,$0.44,26.69
2018-09-30,16.52,$0.43,38.42
2018-06-30,16.97,$0.59,28.77
2018-03-31,16.65,$0.55,30.27
2017-12-31,17.7,$0.72,24.59
2017-09-30,17.67,$1.14,15.5
2017-06-30,18.19,$1.50,12.13
2017-03-31,17.41,$1.79,9.73
2016-12-31,14.5,$1.92,7.55
2016-09-30,14.48,$1.77,8.18
2016-06-30,14.92,$1.47,10.15
2016-03-31,14.34,$1.36,10.54
2015-12-31,11.89,$1.29,9.22
2015-09-30,9.89,$1.15,8.6
2015-06-30,10.98,$1.17,9.39
2015-03-31,9.75,$1.12,8.7
2014-12-31,8.99,$0.82,10.96
2014-09-30,9.01,$0.69,13.06
2014-06-30,8.36,$-0.15,0.0
2014-03-31,9.32,$-0.06,0.0
2013-12-31,10.09,$-0.00,0.0
2013-09-30,10.31,$-0.42,0.0
2013-06-30,10.04,$0.90,11.15
2013-03-31,8.35,$0.45,18.56
2012-12-31,8.89,$0.40,22.24
2012-09-30,8.98,$0.18,49.87
2012-06-30,8.43,$-0.57,0.0
2012-03-31,8.39,$-0.32,0.0
2011-12-31,7.13,$-0.25,0.0
2011-09-30,7.81,$0.42,18.59
2011-06-30,10.13,$1.04,9.74
2011-03-31,10.77,$0.23,46.84
2010-12-31,8.93,$0.31,28.79
2010-09-30,7.14,$-0.04,0.0
2010-06-30,5.31,$-0.40,0.0
2010-03-31,5.12,$0.35,14.63
2009-12-31,3.5,$-0.48,0.0
