Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data,Bunge Global SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.95,,9.15
2024-12-31,77.76,$8.08,9.62
2024-09-30,95.93,$7.90,12.14
2024-06-30,105.24,$8.81,11.95
2024-03-31,100.39,$12.42,8.08
2023-12-31,98.13,$14.89,6.59
2023-09-30,104.57,$12.92,8.09
2023-06-30,90.61,$12.94,7.0
2023-03-31,91.09,$10.19,8.94
2022-12-31,94.55,$10.52,8.99
2022-09-30,77.76,$9.83,7.91
2022-06-30,84.88,$11.62,7.3
2022-03-31,103.22,$12.65,8.16
2021-12-31,86.52,$13.69,6.32
2021-09-30,74.95,$15.91,4.71
2021-06-30,71.54,$13.47,5.31
2021-03-31,72.16,$14.57,4.95
2020-12-31,59.32,$7.59,7.81
2020-09-30,40.99,$3.37,12.16
2020-06-30,36.49,$-9.04,0.0
2020-03-31,35.88,$-11.08,0.0
2019-12-31,49.88,$-9.36,0.0
2019-09-30,48.64,$-9.40,0.0
2019-06-30,47.43,$3.61,13.14
2019-03-31,44.75,$2.03,22.05
2018-12-31,44.64,$1.56,28.61
2018-09-30,56.91,$1.60,35.57
2018-06-30,57.29,$-0.25,0.0
2018-03-31,60.36,$0.41,147.23
2017-12-31,54.44,$0.89,61.17
2017-09-30,55.98,$3.19,17.55
2017-06-30,59.75,$3.43,17.42
2017-03-31,63.1,$3.70,17.05
2016-12-31,57.16,$4.97,11.5
2016-09-30,46.58,$4.45,10.47
2016-06-30,46.22,$5.18,8.92
2016-03-31,44.0,$4.90,8.98
2015-12-31,52.63,$5.03,10.46
2015-09-30,56.18,$4.29,13.1
2015-06-30,66.96,$4.63,14.46
2015-03-31,62.58,$5.94,10.54
2014-12-31,68.78,$4.09,16.82
2014-09-30,63.49,$4.31,14.73
2014-06-30,56.78,$1.47,38.62
2014-03-31,59.45,$0.41,145.0
2013-12-31,61.16,$1.74,35.15
2013-09-30,56.33,$-3.21,0.0
2013-06-30,52.31,$-0.35,0.0
2013-03-31,54.37,$0.68,79.96
2012-12-31,53.33,$0.10,533.34
2012-09-30,49.01,$5.92,8.28
2012-06-30,45.67,$4.89,9.34
2012-03-31,49.61,$5.13,9.67
2011-12-31,41.31,$6.05,6.83
2011-09-30,41.93,$6.35,6.6
2011-06-30,49.39,$6.82,7.24
2011-03-31,51.65,$15.95,3.24
2010-12-31,46.64,$14.77,3.16
2010-09-30,41.95,$12.61,3.33
2010-06-30,34.73,$12.87,2.7
2010-03-31,43.34,$4.00,10.83
2009-12-31,44.73,$1.93,23.17
