J.Jill PE Ratio Historical Data,J.Jill PE Ratio Historical Data,J.Jill PE Ratio Historical Data,J.Jill PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.03,,6.37
2024-10-31,23.91,$2.83,8.45
2024-07-31,38.34,$2.83,13.55
2024-04-30,24.85,$3.35,7.42
2024-01-31,23.25,$2.51,9.26
2023-10-31,28.57,$2.25,12.7
2023-07-31,22.64,$2.07,10.94
2023-04-30,24.66,$2.26,10.91
2023-01-31,27.39,$2.96,9.26
2022-10-31,20.59,$3.14,6.56
2022-07-31,15.98,$3.31,4.83
2022-04-30,16.12,$0.08,201.45
2022-01-31,15.22,$-2.83,0.0
2021-10-31,16.53,$-6.09,0.0
2021-07-31,23.14,$-9.40,0.0
2021-04-30,8.88,$-9.47,0.0
2021-01-31,4.02,$-15.48,0.0
2020-10-31,3.31,$-16.87,0.0
2020-07-31,2.85,$-14.10,0.0
2020-04-30,2.27,$-23.10,0.0
2020-01-31,5.93,$-14.70,0.0
2019-10-31,8.63,$-10.05,0.0
2019-07-31,10.67,$-9.55,0.0
2019-04-30,27.97,$2.65,10.56
2019-01-31,24.66,$3.45,7.15
2018-10-31,20.93,$6.55,3.2
2018-07-31,33.94,$6.50,5.22
2018-04-30,21.18,$6.75,3.14
2018-01-31,35.02,$6.35,5.51
