SK Growth Opportunities PE Ratio Historical Data,SK Growth Opportunities PE Ratio Historical Data,SK Growth Opportunities PE Ratio Historical Data,SK Growth Opportunities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.73,,53.32
2024-09-30,11.34,$0.22,51.53
2024-06-30,11.12,$0.22,50.56
2024-03-31,11.05,$0.22,50.23
2023-12-31,10.82,$0.31,34.9
2023-09-30,10.75,$0.23,46.74
2023-06-30,10.59,$0.16,66.19
