"FLUENT, INC PE Ratio Historical Data","FLUENT, INC PE Ratio Historical Data","FLUENT, INC PE Ratio Historical Data","FLUENT, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.04,,0.0
2024-09-30,3.66,$-1.80,0.0
2024-06-30,3.61,$-3.78,0.0
2024-03-31,0.49,$-2.97,0.0
2023-12-31,0.67,$-4.86,0.0
2023-09-30,0.44,$-9.72,0.0
2023-06-30,0.63,$-7.02,0.0
2023-03-31,0.82,$-11.28,0.0
2022-12-31,1.09,$-9.06,0.0
2022-09-30,1.35,$-3.78,0.0
2022-06-30,1.19,$-4.20,0.0
2022-03-31,2.08,$-0.36,0.0
2021-12-31,1.99,$-0.72,0.0
2021-09-30,2.27,$-1.02,0.0
2021-06-30,2.93,$-0.78,0.0
2021-03-31,4.1,$-0.36,0.0
2020-12-31,5.31,$0.18,29.5
2020-09-30,2.48,$0.24,10.33
2020-06-30,1.78,$-0.18,0.0
2020-03-31,1.17,$-0.18,0.0
2019-12-31,2.5,$-0.18,0.0
2019-09-30,2.74,$-0.12,0.0
2019-06-30,5.38,$0.60,8.97
2019-03-31,5.62,$0.72,7.81
2018-12-31,3.6,$-1.74,0.0
2018-09-30,2.15,$-2.46,0.0
2018-06-30,2.45,$-4.32,0.0
2018-03-31,2.5,$-6.72,0.0
2017-12-31,4.4,$-5.76,0.0
2017-09-30,4.9,$-5.70,0.0
2017-06-30,5.05,$-5.34,0.0
2017-03-31,4.65,$-4.02,0.0
2016-12-31,3.45,$-4.08,0.0
2016-09-30,5.09,$-3.54,0.0
2016-06-30,4.73,$-4.32,0.0
2016-03-31,5.8,$-23.04,0.0
2015-12-31,7.34,$-22.86,0.0
2015-09-30,7.4,$-22.86,0.0
2015-06-30,10.9,$-21.54,0.0
2015-03-31,7.26,$-2.52,0.0
2014-12-31,4.1,$-2.10,0.0
2014-09-30,2.7,$-2.10,0.0
2014-06-30,4.69,$-1.50,0.0
2014-03-31,6.65,$-0.90,0.0
2013-12-31,7.55,0,0.0
2013-09-30,6.4,0,0.0
2013-06-30,4.65,0,0.0
2012-12-31,5.94,0,0.0
2012-06-30,9.0,0,0.0
2011-12-31,3.25,0,0.0
2011-06-30,9.5,$10.20,0.93
2010-12-31,15.55,$9.00,1.73
2009-12-31,36.55,$6.00,6.09
