"EnLink Midstream, LLC PE Ratio Historical Data","EnLink Midstream, LLC PE Ratio Historical Data","EnLink Midstream, LLC PE Ratio Historical Data","EnLink Midstream, LLC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,14.09,,67.1
2024-09-30,14.38,$0.21,68.48
2024-06-30,13.5,$0.30,45.0
2024-03-31,13.25,$0.35,37.87
2023-12-31,11.69,$0.44,26.57
2023-09-30,11.63,$0.63,18.46
2023-06-30,9.98,$0.74,13.48
2023-03-31,10.07,$0.79,12.75
2022-12-31,11.32,$0.74,15.3
2022-09-30,8.1,$0.52,15.58
2022-06-30,7.66,$0.35,21.89
2022-03-31,8.6,$0.14,61.45
2021-12-31,6.05,$0.04,151.37
2021-09-30,5.92,$-0.38,0.0
2021-06-30,5.46,$-0.35,0.0
2021-03-31,3.6,$-0.30,0.0
2020-12-31,3.04,$-0.86,0.0
2020-09-30,1.86,$-2.47,0.0
2020-06-30,1.86,$-2.53,0.0
2020-03-31,0.8,$-2.99,0.0
2019-12-31,4.32,$-2.74,0.0
2019-06-30,6.62,$-0.78,0.0
2019-03-31,8.2,$-0.60,0.0
2018-12-31,5.94,$-0.08,0.0
2018-09-30,10.29,$1.37,7.51
2018-06-30,10.12,$1.36,7.44
2018-03-31,8.86,$1.24,7.14
2017-12-31,10.49,$1.16,9.04
2017-09-30,10.12,$0.03,337.23
2017-06-30,10.17,0,0.0
2017-03-31,11.06,$-0.02,0.0
2016-12-31,10.71,$-2.57,0.0
2016-09-30,9.26,$-3.73,0.0
2016-06-30,8.65,$-4.91,0.0
2016-03-31,6.01,$-4.83,0.0
2015-12-31,7.9,$-2.17,0.0
2015-09-30,9.45,$-0.83,0.0
2015-06-30,15.93,$0.52,30.64
2015-03-31,16.56,$0.61,27.15
2014-12-31,17.96,$0.55,32.66
2014-09-30,20.75,$0.17,122.06
2014-06-30,20.8,$-0.10,0.0
2014-03-31,16.86,$-0.34,0.0
2013-12-31,17.96,$-0.50,0.0
2013-06-30,9.72,$-0.37,0.0
2013-03-31,9.41,$-0.30,0.0
2012-12-31,6.95,$-0.26,0.0
2012-09-30,6.74,$-0.17,0.0
2012-06-30,6.67,$-0.12,0.0
2012-03-31,6.68,$-0.11,0.0
2011-12-31,5.92,$-0.12,0.0
2011-09-30,6.27,$-0.13,0.0
2011-06-30,5.5,$-0.13,0.0
2011-03-31,4.55,$-0.16,0.0
2010-12-31,4.02,$-0.25,0.0
2010-09-30,3.56,$0.04,88.91
2010-06-30,2.89,$0.41,7.04
2010-03-31,3.92,$0.39,10.04
2009-12-31,2.72,$0.53,5.14
2009-09-30,2.38,$0.09,26.41
2009-06-30,1.88,$-0.47,0.0
