DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.93,,46.07
2024-12-31,76.25,$1.67,45.66
2024-09-30,88.71,$1.90,46.69
2024-06-30,79.77,$1.52,52.48
2024-03-31,75.98,$0.82,92.66
2023-12-31,75.82,$0.93,81.53
2023-09-30,73.15,$9.67,7.56
2023-06-30,69.74,$9.70,7.19
2023-03-31,69.69,$11.53,6.04
2022-12-31,66.32,$11.92,5.56
2022-09-30,48.47,$3.62,13.39
2022-06-30,53.16,$3.64,14.6
2022-03-31,70.04,$2.99,23.42
2021-12-31,76.57,$10.94,7.0
2021-09-30,64.2,$10.85,5.92
2021-06-30,72.8,$9.99,7.29
2021-03-31,72.42,$5.72,12.66
2020-12-31,66.36,$-4.01,0.0
2020-09-30,51.53,$-4.07,0.0
2020-06-30,49.07,$-3.46,0.0
2020-03-31,31.31,$-0.85,0.0
2019-12-31,58.56,$0.67,87.39
2019-09-30,64.75,$1.06,61.07
2019-06-30,67.88,$1.19,57.03
2019-03-31,68.54,$4.23,16.2
2018-12-31,68.28,$4.95,13.79
2018-09-30,82.11,$2.70,30.41
2018-06-30,83.71,$3.03,27.63
