Hyperfine PE Ratio Historical Data,Hyperfine PE Ratio Historical Data,Hyperfine PE Ratio Historical Data,Hyperfine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.86,,0.0
2024-09-30,1.08,$-0.57,0.0
2024-06-30,0.85,$-0.58,0.0
2024-03-31,1.0,$-0.59,0.0
2023-12-31,1.12,$-0.62,0.0
2023-09-30,2.05,$-0.66,0.0
2023-06-30,2.15,$-0.70,0.0
2023-03-31,1.44,$-0.88,0.0
2022-12-31,0.84,$-1.05,0.0
2022-09-30,0.81,$-3.59,0.0
2022-06-30,2.23,$-3.40,0.0
2022-03-31,3.54,$-3.07,0.0
2021-12-31,7.25,$-2.73,0.0
