IHuman PE Ratio Historical Data,IHuman PE Ratio Historical Data,IHuman PE Ratio Historical Data,IHuman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.73,,9.75
2024-09-30,2.3,$0.28,8.21
2024-06-30,1.79,$0.34,5.26
2024-03-31,1.7,$0.39,4.36
2023-12-31,3.07,$0.47,6.53
2023-09-30,3.02,$0.48,6.29
2023-06-30,2.96,$0.45,6.58
2023-03-31,3.24,$0.40,8.1
2022-12-31,2.6,$0.30,8.67
2022-09-30,2.2,$0.18,12.22
2022-06-30,2.36,$-0.03,0.0
2022-03-31,2.14,$-0.08,0.0
2021-12-31,2.8,$-0.10,0.0
