LiveOne PE Ratio Historical Data,LiveOne PE Ratio Historical Data,LiveOne PE Ratio Historical Data,LiveOne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.82,,0.0
2024-12-31,1.47,$-0.13,0.0
2024-09-30,0.95,$-0.10,0.0
2024-06-30,1.57,$-0.17,0.0
2024-03-31,1.95,$-0.16,0.0
2023-12-31,1.39,$-0.19,0.0
2023-09-30,0.96,$-0.20,0.0
2023-06-30,1.76,$-0.15,0.0
2023-03-31,1.14,$-0.12,0.0
2022-12-31,0.64,$-0.17,0.0
2022-09-30,0.71,$-0.28,0.0
2022-06-30,0.86,$-0.43,0.0
2022-03-31,0.82,$-0.57,0.0
2021-12-31,1.28,$-0.66,0.0
2021-09-30,2.99,$-0.63,0.0
2021-06-30,4.72,$-0.59,0.0
2021-03-31,4.34,$-0.60,0.0
2020-12-31,3.28,$-0.55,0.0
2020-09-30,2.6,$-0.58,0.0
2020-06-30,3.62,$-0.62,0.0
2020-03-31,1.58,$-0.70,0.0
2019-12-31,1.55,$-0.74,0.0
2019-09-30,2.01,$-0.72,0.0
2019-06-30,4.15,$-0.73,0.0
2019-03-31,5.38,$-0.73,0.0
2018-12-31,4.95,$-0.54,0.0
