VOC Energy Trust PE Ratio Historical Data,VOC Energy Trust PE Ratio Historical Data,VOC Energy Trust PE Ratio Historical Data,VOC Energy Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.33,,4.27
2024-09-30,4.76,$0.78,6.1
2024-06-30,4.48,$0.81,5.54
2024-03-31,5.48,$0.86,6.37
2023-12-31,6.35,$0.90,7.05
2023-09-30,8.44,$0.67,12.6
2023-06-30,6.64,$0.84,7.91
2023-03-31,6.75,$0.89,7.58
2022-12-31,8.28,$0.91,9.1
2022-09-30,5.18,$0.91,5.7
2022-06-30,4.73,$0.69,6.86
2022-03-31,4.8,$0.53,9.06
2021-12-31,3.15,$0.31,10.16
2021-09-30,2.96,$0.40,7.4
2021-06-30,2.94,$0.24,12.26
2021-03-31,2.11,$0.15,14.04
2020-12-31,1.32,$0.23,5.74
2020-09-30,0.9,$0.33,2.73
2020-06-30,1.37,$0.54,2.54
2020-03-31,0.88,$0.67,1.32
2019-12-31,2.52,$0.71,3.55
2019-09-30,2.78,$0.74,3.76
2019-06-30,2.57,$0.73,3.52
2019-03-31,2.82,$0.75,3.76
2018-12-31,1.79,$0.71,2.52
2018-09-30,2.58,$0.49,5.26
2018-06-30,2.42,$0.40,6.05
2018-03-31,1.79,$0.43,4.17
2017-12-31,2.56,$0.40,6.4
2017-09-30,1.57,$0.50,3.14
2017-06-30,1.75,$0.48,3.65
2017-03-31,1.38,$0.32,4.32
2016-12-31,1.23,$0.29,4.23
2016-09-30,1.12,$0.29,3.86
2016-06-30,1.2,$0.31,3.88
2016-03-31,0.98,$0.42,2.34
2015-12-31,0.87,$0.47,1.85
2015-09-30,1.27,$0.74,1.72
2015-06-30,1.91,$1.02,1.87
2015-03-31,1.65,$1.38,1.2
2014-12-31,1.71,$1.85,0.93
2014-09-30,3.89,$2.01,1.93
2014-06-30,5.15,$2.03,2.54
2014-03-31,4.24,$1.51,2.81
2013-12-31,4.09,$0.94,4.35
2013-09-30,4.26,$0.41,10.4
2013-06-30,3.72,0,0.0
2013-03-31,3.11,0,0.0
2012-12-31,3.21,0,0.0
2012-09-30,4.53,0,0.0
2012-06-30,4.28,0,0.0
2012-03-31,5.04,0,0.0
