UFP Industries PE Ratio Historical Data,UFP Industries PE Ratio Historical Data,UFP Industries PE Ratio Historical Data,UFP Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,107.9,,15.94
2024-12-31,112.65,$6.77,16.64
2024-09-30,130.89,$7.27,18.0
2024-06-30,111.42,$7.73,14.41
2024-03-31,122.03,$8.04,15.18
2023-12-31,124.19,$8.06,15.41
2023-09-30,101.02,$8.54,11.83
2023-06-30,95.47,$9.10,10.49
2023-03-31,77.92,$9.97,7.82
2022-12-31,77.48,$10.99,7.05
2022-09-30,70.33,$11.10,6.34
2022-06-30,66.21,$10.37,6.38
2022-03-31,74.73,$9.92,7.53
2021-12-31,88.91,$8.59,10.35
2021-09-30,65.53,$7.40,8.86
2021-06-30,71.52,$6.72,10.64
2021-03-31,72.82,$5.02,14.51
2020-12-31,53.21,$4.00,13.3
2020-09-30,54.0,$3.59,15.04
2020-06-30,47.21,$3.18,14.85
2020-03-31,35.37,$2.98,11.87
2019-12-31,45.24,$2.91,15.55
2019-09-30,37.68,$2.80,13.46
2019-06-30,35.96,$2.62,13.72
2019-03-31,28.07,$2.45,11.46
2018-12-31,24.38,$2.40,10.16
2018-09-30,33.18,$2.41,13.77
2018-06-30,34.39,$2.30,14.97
2018-03-31,30.32,$2.13,14.21
2017-12-31,35.16,$1.95,18.06
2017-09-30,30.44,$1.78,17.14
2017-06-30,27.08,$1.68,16.09
2017-03-31,30.41,$1.68,18.07
2016-12-31,31.53,$1.66,19.03
2016-09-30,30.26,$1.63,18.6
2016-06-30,28.48,$1.59,17.87
2016-03-31,26.24,$1.47,17.81
2015-12-31,20.9,$1.33,15.75
2015-09-30,17.54,$1.17,14.99
2015-06-30,15.82,$1.07,14.79
2015-03-31,16.75,$1.00,16.7
2014-12-31,16.06,$0.95,16.85
2014-09-30,12.79,$0.93,13.7
2014-06-30,14.46,$0.85,17.01
2014-03-31,16.5,$0.75,21.91
2013-12-31,15.55,$0.72,21.6
2013-09-30,12.47,$0.55,22.54
2013-06-30,11.86,$0.39,30.66
2013-03-31,11.77,$0.42,28.23
2012-12-31,11.24,$0.40,28.11
2012-09-30,12.21,$0.40,30.28
2012-06-30,11.46,$0.43,26.65
2012-03-31,10.08,$0.21,48.0
2011-12-31,9.03,$0.08,117.67
2011-09-30,6.98,$0.11,63.43
2011-06-30,6.95,$0.06,122.81
2011-03-31,10.56,$0.22,48.75
2010-12-31,11.21,$0.30,37.79
2010-09-30,8.38,$0.28,29.57
2010-06-30,8.68,$0.41,21.17
2010-03-31,10.97,$0.45,24.2
2009-12-31,10.49,$0.42,25.17
