Datasea PE Ratio Historical Data,Datasea PE Ratio Historical Data,Datasea PE Ratio Historical Data,Datasea PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.08,,0.0
2024-12-31,2.29,$-2.20,0.0
2024-09-30,2.5,$-2.76,0.0
2024-06-30,4.5,$-2.27,0.0
2024-03-31,7.7,$-5.57,0.0
2023-12-31,3.52,$-4.77,0.0
2023-09-30,3.12,$-4.80,0.0
2023-06-30,13.76,$-5.55,0.0
2023-03-31,18.3,$-3.60,0.0
2022-12-31,22.5,$-3.60,0.0
2022-09-30,22.35,$-3.90,0.0
2022-06-30,24.45,$-4.05,0.0
2022-03-31,42.0,$-3.90,0.0
2021-12-31,23.4,$-5.25,0.0
2021-09-30,31.65,$-4.95,0.0
2021-06-30,37.5,$-4.65,0.0
2021-03-31,48.75,$-3.60,0.0
2020-12-31,30.0,$-1.95,0.0
2020-09-30,47.25,$-1.80,0.0
2020-06-30,31.2,$-1.50,0.0
2020-03-31,28.5,$-1.50,0.0
2019-12-31,45.75,$-1.50,0.0
2019-09-30,14.1,$-1.20,0.0
