Comtech Telecommunications PE Ratio Historical Data,Comtech Telecommunications PE Ratio Historical Data,Comtech Telecommunications PE Ratio Historical Data,Comtech Telecommunications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.93,,0.0
2025-01-31,2.0,$-8.81,0.0
2024-10-31,3.72,$-9.88,0.0
2024-07-31,3.24,$-4.70,0.0
2024-04-30,1.88,$-1.41,0.0
2024-01-31,6.33,$-1.70,0.0
2023-10-31,12.2,$-0.86,0.0
2023-07-31,10.16,$-1.21,0.0
2023-04-30,10.35,$-1.28,0.0
2023-01-31,15.86,$-1.01,0.0
2022-10-31,10.97,$-1.67,0.0
2022-07-31,11.42,$-1.64,0.0
2022-04-30,13.24,$-1.10,0.0
2022-01-31,19.65,$-1.01,0.0
2021-10-31,20.76,$0.05,415.11
2021-07-31,23.92,$-2.91,0.0
2021-04-30,22.87,$-3.15,0.0
2021-01-31,20.27,$-3.34,0.0
2020-10-31,13.62,$-3.37,0.0
2020-07-31,15.43,$0.28,55.12
2020-04-30,17.28,$0.49,35.27
2020-01-31,26.84,$0.96,27.95
2019-10-31,32.35,$1.14,28.38
2019-07-31,27.46,$1.02,26.92
2019-04-30,21.63,$1.08,20.03
2019-01-31,22.86,$1.11,20.6
2018-10-31,25.46,$1.45,17.56
2018-07-31,30.55,$1.24,24.63
2018-04-30,27.73,$1.24,22.36
2018-01-31,19.55,$1.09,17.93
2017-10-31,19.35,$0.71,27.25
2017-07-31,16.12,$0.67,24.06
2017-04-30,12.48,$0.50,24.96
2017-01-31,9.49,$-0.58,0.0
2016-10-31,9.11,$-0.71,0.0
2016-07-31,11.13,$-0.51,0.0
2016-04-30,20.15,$-0.31,0.0
2016-01-31,16.04,$0.88,18.23
2015-10-31,19.55,$1.19,16.43
2015-07-31,23.01,$1.42,16.21
2015-04-30,22.86,$1.56,14.65
2015-01-31,25.88,$1.58,16.38
2014-10-31,29.55,$1.44,20.52
2014-07-31,26.01,$1.40,18.58
2014-04-30,24.0,$1.20,20.0
2014-01-31,22.99,$1.05,21.9
2013-10-31,22.48,$0.87,25.84
2013-07-31,20.08,$0.95,21.13
2013-04-30,18.07,$1.05,17.21
2013-01-31,19.22,$1.17,16.43
2012-10-31,18.06,$1.30,13.89
2012-07-31,19.4,$1.41,13.76
2012-04-30,21.75,$1.45,15.0
2012-01-31,21.52,$1.63,13.2
2011-10-31,22.88,$1.88,12.17
2011-07-31,18.46,$2.20,8.39
2011-04-30,19.22,$2.21,8.7
2011-01-31,18.88,$2.41,7.84
2010-10-31,20.55,$2.40,8.56
2010-07-31,14.27,$1.91,7.47
2010-04-30,20.66,$1.69,12.23
2010-01-31,23.39,$1.31,17.85
2009-10-31,21.24,$1.26,16.86
