Altisource Portfolio Solutions S.A PE Ratio Historical Data,Altisource Portfolio Solutions S.A PE Ratio Historical Data,Altisource Portfolio Solutions S.A PE Ratio Historical Data,Altisource Portfolio Solutions S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-09-30,1.2,$-1.42,0.0
2024-06-30,1.41,$-1.60,0.0
2024-03-31,1.94,$-2.21,0.0
2023-12-31,3.56,$-2.58,0.0
2023-09-30,3.99,$-2.81,0.0
2023-06-30,5.7,$-3.19,0.0
2023-03-31,4.6,$-3.25,0.0
2022-12-31,9.46,$-3.31,0.0
2022-09-30,13.11,$1.79,7.32
2022-06-30,10.74,$1.53,7.02
2022-03-31,11.83,$1.32,8.96
2021-12-31,11.22,$0.68,16.5
2021-09-30,9.88,$-4.18,0.0
2021-06-30,8.89,$-3.88,0.0
2021-03-31,9.19,$-4.96,0.0
2020-12-31,12.88,$-4.31,0.0
2020-09-30,12.67,$-23.51,0.0
2020-06-30,14.74,$-22.22,0.0
2020-03-31,7.67,$-20.33,0.0
2019-12-31,19.33,$-19.78,0.0
2019-09-30,20.22,$-0.81,0.0
2019-06-30,19.66,$-0.76,0.0
2019-03-31,23.67,$-0.31,0.0
2018-12-31,22.49,$-0.35,0.0
2018-09-30,32.23,$16.06,2.01
2018-06-30,29.17,$15.95,1.83
2018-03-31,26.56,$16.34,1.63
2017-12-31,28.0,$16.92,1.65
2017-09-30,25.87,$0.12,215.58
2017-06-30,21.82,$0.28,77.93
2017-03-31,36.8,$0.82,44.88
2016-12-31,26.59,$1.40,18.99
2016-09-30,32.4,$0.13,249.23
2016-06-30,27.84,$1.41,19.74
2016-03-31,24.15,$2.61,9.25
2015-12-31,27.81,$1.87,14.87
2015-09-30,23.84,$4.14,5.76
2015-06-30,30.79,$4.11,7.49
2015-03-31,12.87,$4.13,3.12
2014-12-31,33.79,$5.56,6.08
2014-09-30,100.8,$7.06,14.28
2014-06-30,114.58,$6.69,17.13
2014-03-31,121.66,$5.70,21.34
2013-12-31,158.63,$5.19,30.56
2013-09-30,140.01,$4.97,28.17
2013-06-30,94.3,$4.63,20.37
2013-03-31,69.75,$4.51,15.47
2012-12-31,86.66,$4.42,19.61
2012-09-30,80.73,$4.24,19.04
2012-06-30,68.54,$3.83,17.9
2012-03-31,56.76,$3.22,17.63
2011-12-31,46.97,$2.78,16.9
2011-09-30,33.12,$2.40,13.8
2011-06-30,34.44,$2.10,16.4
2011-03-31,28.72,$2.20,13.05
2010-12-31,26.87,$1.88,14.29
2010-09-30,29.15,$1.49,19.56
2010-06-30,23.16,$1.48,15.65
