Evans Bancorp PE Ratio Historical Data,Evans Bancorp PE Ratio Historical Data,Evans Bancorp PE Ratio Historical Data,Evans Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.39,,18.32
2024-12-31,43.3,$2.15,20.14
2024-09-30,38.97,$3.33,11.7
2024-06-30,27.64,$3.46,7.99
2024-03-31,29.36,$3.83,7.67
2023-12-31,30.32,$4.47,6.78
2023-09-30,25.77,$3.72,6.93
2023-06-30,23.41,$4.12,5.68
2023-03-31,31.53,$4.25,7.42
2022-12-31,34.51,$4.05,8.52
2022-09-30,33.82,$4.01,8.43
2022-06-30,30.85,$4.22,7.31
2022-03-31,34.49,$4.34,7.95
2021-12-31,36.0,$4.37,8.24
2021-09-30,34.22,$4.42,7.74
2021-06-30,32.63,$3.99,8.18
2021-03-31,29.81,$2.93,10.17
2020-12-31,23.81,$2.08,11.45
2020-09-30,19.24,$1.90,10.12
2020-06-30,19.61,$2.10,9.34
2020-03-31,20.5,$2.89,7.09
2019-12-31,33.14,$3.60,9.21
2019-09-30,30.91,$3.57,8.66
2019-06-30,30.73,$3.50,8.78
2019-03-31,29.04,$3.39,8.57
2018-12-31,26.48,$3.32,7.98
2018-09-30,38.24,$2.62,14.6
2018-06-30,37.18,$2.41,15.43
2018-03-31,36.5,$2.18,16.74
2017-12-31,33.46,$2.16,15.49
2017-09-30,34.49,$2.49,13.85
2017-06-30,31.58,$2.24,14.1
2017-03-31,30.35,$2.16,14.05
2016-12-31,24.68,$1.90,12.99
2016-09-30,21.4,$1.78,12.02
2016-06-30,19.01,$1.85,10.28
2016-03-31,18.83,$1.78,10.58
2015-12-31,19.55,$1.82,10.74
2015-09-30,18.86,$1.95,9.67
2015-06-30,18.15,$1.91,9.5
2015-03-31,18.56,$1.89,9.82
2014-12-31,17.94,$1.92,9.34
2014-09-30,17.01,$1.77,9.61
2014-06-30,16.84,$1.81,9.3
2014-03-31,16.55,$1.90,8.71
2013-12-31,15.14,$1.86,8.14
2013-09-30,14.04,$1.98,7.09
2013-06-30,12.43,$1.91,6.51
2013-03-31,12.85,$1.81,7.1
2012-12-31,10.97,$1.96,5.6
2012-09-30,10.98,$1.78,6.17
2012-06-30,11.34,$1.74,6.52
2012-03-31,9.8,$1.62,6.05
2011-12-31,8.07,$1.50,5.38
2011-09-30,7.45,$1.29,5.77
2011-06-30,9.13,$1.13,8.08
2011-03-31,9.43,$1.36,6.93
2010-12-31,9.37,$1.41,6.64
2010-09-30,8.74,$1.78,4.91
2010-06-30,8.19,$2.34,3.5
2010-03-31,9.75,$1.20,8.12
2009-12-31,7.24,$0.24,30.18
