Teekay PE Ratio Historical Data,Teekay PE Ratio Historical Data,Teekay PE Ratio Historical Data,Teekay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.96,,4.64
2024-09-30,7.97,$1.50,5.31
2024-06-30,7.77,$1.56,4.98
2024-03-31,6.3,$1.62,3.89
2023-12-31,6.19,$1.53,4.05
2023-09-30,5.34,$1.54,3.47
2023-06-30,5.23,$1.59,3.29
2023-03-31,5.35,$1.23,4.35
2022-12-31,3.93,$0.76,5.17
2022-09-30,3.11,$0.21,14.8
2022-06-30,2.49,$-0.14,0.0
2022-03-31,2.75,$-0.21,0.0
2021-12-31,2.72,$0.06,45.32
2021-09-30,3.17,$0.04,79.24
2021-06-30,3.22,$-0.28,0.0
2021-03-31,2.77,$-0.05,0.0
2020-12-31,1.86,$-0.82,0.0
2020-09-30,1.93,$-0.52,0.0
2020-06-30,2.08,$-2.14,0.0
2020-03-31,2.74,$-2.74,0.0
2019-12-31,4.61,$-3.09,0.0
2019-09-30,3.46,$-3.38,0.0
2019-06-30,2.98,$-1.53,0.0
2019-03-31,3.39,$-1.42,0.0
2018-12-31,2.85,$-0.79,0.0
2018-09-30,5.7,$-0.77,0.0
2018-06-30,6.5,$-0.80,0.0
2018-03-31,6.75,$-1.45,0.0
2017-12-31,7.72,$-1.77,0.0
2017-09-30,7.35,$-1.65,0.0
2017-06-30,5.46,$-1.43,0.0
2017-03-31,7.44,$-1.64,0.0
2016-12-31,6.5,$-1.78,0.0
2016-09-30,6.19,$-1.22,0.0
2016-06-30,5.68,$-1.46,0.0
2016-03-31,6.86,$0.58,11.83
2015-12-31,7.76,$1.12,6.93
2015-09-30,22.93,$0.41,55.92
2015-06-30,32.7,$0.61,53.6
2015-03-31,35.34,$-0.89,0.0
2014-12-31,38.33,$-0.77,0.0
2014-09-30,49.68,$-1.58,0.0
2014-06-30,46.36,$-2.30,0.0
2014-03-31,41.65,$-1.54,0.0
2013-12-31,35.35,$-1.62,0.0
2013-09-30,31.24,$-1.97,0.0
2013-06-30,29.46,$-1.57,0.0
2013-03-31,25.83,$-2.41,0.0
2012-12-31,22.82,$-2.30,0.0
2012-09-30,21.96,$-0.26,0.0
2012-06-30,20.38,$-4.17,0.0
2012-03-31,23.96,$-4.85,0.0
2011-12-31,18.21,$-5.28,0.0
2011-09-30,15.21,$-4.81,0.0
2011-06-30,20.56,$-3.16,0.0
2011-03-31,24.36,$-3.90,0.0
2010-12-31,21.62,$-3.68,0.0
2010-09-30,17.27,$-4.62,0.0
2010-06-30,16.71,$-4.03,0.0
2010-03-31,14.33,$0.26,55.13
2009-12-31,14.46,$1.57,9.21
