MSA Safety Incorporporated PE Ratio Historical Data,MSA Safety Incorporporated PE Ratio Historical Data,MSA Safety Incorporporated PE Ratio Historical Data,MSA Safety Incorporporated PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,150.56,,20.88
2024-12-31,165.77,$7.21,22.99
2024-09-30,176.82,$6.92,25.55
2024-06-30,186.61,$6.88,27.12
2024-03-31,191.95,$6.75,28.44
2023-12-31,166.96,$1.45,115.14
2023-09-30,155.46,$0.83,187.3
2023-06-30,171.09,$0.32,534.66
2023-03-31,130.87,$-0.17,0.0
2022-12-31,140.88,$4.56,30.89
2022-09-30,106.41,$1.68,63.34
2022-06-30,117.48,$1.02,115.18
2022-03-31,128.28,$0.45,285.07
2021-12-31,145.47,$0.47,309.5
2021-09-30,139.99,$2.35,59.57
2021-06-30,158.66,$2.58,61.5
2021-03-31,143.38,$2.86,50.13
2020-12-31,142.41,$3.05,46.69
2020-09-30,127.52,$3.53,36.12
2020-06-30,108.39,$3.90,27.79
2020-03-31,95.5,$3.99,23.94
2019-12-31,118.89,$3.47,34.26
2019-09-30,102.31,$3.32,30.82
2019-06-30,98.42,$3.10,31.75
2019-03-31,96.18,$2.94,32.71
2018-12-31,87.36,$3.18,27.47
2018-09-30,98.29,$1.67,58.86
2018-06-30,88.63,$1.64,54.04
2018-03-31,76.26,$1.11,68.7
2017-12-31,70.69,$0.65,108.76
2017-09-30,72.18,$2.17,33.26
2017-06-30,73.31,$1.97,37.22
2017-03-31,63.56,$2.42,26.26
2016-12-31,62.04,$2.36,26.29
2016-09-30,51.65,$2.26,22.85
2016-06-30,46.47,$2.05,22.67
2016-03-31,42.47,$1.91,22.24
2015-12-31,37.88,$1.86,20.36
2015-09-30,34.58,$2.17,15.93
2015-06-30,41.69,$2.26,18.45
2015-03-31,42.57,$2.22,19.17
2014-12-31,45.01,$2.33,19.32
2014-09-30,41.66,$2.14,19.47
2014-06-30,48.2,$2.15,22.42
2014-03-31,47.51,$2.20,21.6
2013-12-31,42.69,$2.34,18.24
2013-09-30,42.76,$2.19,19.52
2013-06-30,38.34,$2.18,17.59
2013-03-31,40.62,$2.29,17.74
2012-12-31,34.76,$2.42,14.36
2012-09-30,29.89,$2.36,12.67
2012-06-30,32.02,$2.39,13.4
2012-03-31,32.47,$2.17,14.96
2011-12-31,25.98,$1.89,13.75
2011-09-30,20.99,$1.75,11.99
2011-06-30,28.81,$1.47,19.6
2011-03-31,28.1,$1.26,22.3
2010-12-31,23.68,$1.04,22.77
2010-09-30,20.43,$1.07,19.1
2010-06-30,18.48,$1.11,16.65
2010-03-31,20.67,$1.14,18.13
2009-12-31,19.42,$1.20,16.18
