Pedevco PE Ratio Historical Data,Pedevco PE Ratio Historical Data,Pedevco PE Ratio Historical Data,Pedevco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.74,,37.0
2024-09-30,0.94,$0.02,47.0
2024-06-30,0.9,0,0.0
2024-03-31,0.8,$0.01,80.21
2023-12-31,0.77,$0.02,38.51
2023-09-30,1.01,$0.03,33.67
2023-06-30,0.92,$0.03,30.5
2023-03-31,1.06,$0.03,35.33
2022-12-31,1.1,$0.03,36.67
2022-09-30,1.01,$0.05,20.2
2022-06-30,1.15,$0.04,28.75
2022-03-31,1.35,0,0.0
2021-12-31,1.06,$-0.01,0.0
2021-09-30,1.48,$-0.31,0.0
2021-06-30,1.59,$-0.34,0.0
2021-03-31,1.46,$-0.38,0.0
2020-12-31,1.51,$-0.45,0.0
2020-09-30,1.49,$-0.14,0.0
2020-06-30,0.81,$-0.18,0.0
2020-03-31,0.88,$-0.19,0.0
2019-12-31,1.66,$-0.24,0.0
2019-09-30,1.48,$-1.46,0.0
2019-06-30,2.08,$-1.58,0.0
2019-03-31,2.78,$3.20,0.87
2018-12-31,0.76,$2.73,0.28
2018-09-30,2.21,$0.02,110.5
2018-06-30,2.27,$-0.55,0.0
2018-03-31,0.3,$-6.04,0.0
2017-12-31,0.32,$-6.22,0.0
2017-09-30,0.59,$-3.48,0.0
2017-06-30,0.64,$-3.42,0.0
2017-03-31,0.92,$-3.36,0.0
2016-12-31,1.12,$-4.00,0.0
2016-09-30,1.8,$-4.20,0.0
2016-06-30,2.78,$-4.70,0.0
2016-03-31,1.85,$-5.30,0.0
2015-12-31,2.9,$-5.10,0.0
2015-09-30,2.5,$-3.70,0.0
2015-06-30,4.5,$-4.20,0.0
2015-03-31,8.18,$-2.90,0.0
2014-12-31,4.5,$-1.70,0.0
2014-09-30,16.4,$-8.30,0.0
2014-06-30,20.3,$-7.70,0.0
2014-03-31,20.6,$-7.70,0.0
2013-12-31,21.5,$-7.70,0.0
2013-09-30,42.4,$-1.10,0.0
2013-06-30,40.0,0,0.0
2013-03-31,51.0,$-33.71,0.0
2012-12-31,61.5,$-33.71,0.0
2012-09-30,60.0,$-67.42,0.0
2012-03-31,33.6,$-101.13,0.0
2011-12-31,33.6,$-101.13,0.0
2011-09-30,168.0,$-101.13,0.0
2011-06-30,235.2,$-67.42,0.0
2011-03-31,571.2,$-33.71,0.0
2010-12-31,235.2,0,0.0
2010-09-30,201.6,0,0.0
2010-06-30,201.6,$-33.71,0.0
2010-03-31,302.4,$-67.42,0.0
2009-12-31,201.6,$-101.13,0.0
