Blade Air Mobility PE Ratio Historical Data,Blade Air Mobility PE Ratio Historical Data,Blade Air Mobility PE Ratio Historical Data,Blade Air Mobility PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.01,,0.0
2024-12-31,4.25,$-0.24,0.0
2024-09-30,2.94,$-0.69,0.0
2024-06-30,3.48,$-0.66,0.0
2024-03-31,2.85,$-0.68,0.0
2023-12-31,3.53,$-0.76,0.0
2023-09-30,2.59,$-0.52,0.0
2023-06-30,3.94,$-0.65,0.0
2023-03-31,3.38,$-0.38,0.0
2022-12-31,3.58,$-0.40,0.0
2022-09-30,4.03,$-0.18,0.0
2022-06-30,4.46,$-0.26,0.0
2022-03-31,8.49,$-0.83,0.0
2021-12-31,8.83,$-1.00,0.0
2021-09-30,10.4,$-1.01,0.0
2021-06-30,10.5,$-0.80,0.0
2021-03-31,10.29,$-0.33,0.0
2020-12-31,11.08,0,0.0
2020-09-30,10.05,0,0.0
