Cineverse PE Ratio Historical Data,Cineverse PE Ratio Historical Data,Cineverse PE Ratio Historical Data,Cineverse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.43,,0.0
2024-12-31,3.65,$-1.05,0.0
2024-09-30,0.98,$-1.61,0.0
2024-06-30,0.89,$-1.56,0.0
2024-03-31,1.39,$-1.73,0.0
2023-12-31,1.35,$-0.98,0.0
2023-09-30,1.17,$-0.16,0.0
2023-06-30,1.91,$-0.72,0.0
2023-03-31,8.4,$-0.95,0.0
2022-12-31,7.75,$-1.00,0.0
2022-09-30,7.9,$-1.60,0.0
2022-06-30,9.84,$-1.00,0.0
2022-03-31,16.27,$0.20,81.36
2021-12-31,23.2,$0.60,38.67
2021-09-30,50.2,$-0.80,0.0
2021-06-30,25.8,$-5.40,0.0
2021-03-31,33.4,$-10.20,0.0
2020-12-31,12.9,$-11.80,0.0
2020-09-30,11.3,$-11.40,0.0
2020-06-30,38.2,$-8.40,0.0
2020-03-31,7.3,$-6.80,0.0
2019-12-31,14.0,$-8.60,0.0
2019-09-30,17.8,$-9.40,0.0
2019-06-30,27.0,$-9.60,0.0
2019-03-31,38.0,$-8.80,0.0
2018-12-31,11.4,$-5.40,0.0
2018-09-30,23.2,$-7.60,0.0
2018-06-30,31.0,$-17.80,0.0
2018-03-31,27.4,$-25.60,0.0
2017-12-31,30.0,$-48.60,0.0
2017-09-30,29.0,$-46.00,0.0
2017-06-30,34.8,$-35.60,0.0
2017-03-31,31.0,$-40.00,0.0
2016-12-31,28.8,$-36.00,0.0
2016-09-30,40.6,$-42.60,0.0
2016-06-30,24.2,$-111.00,0.0
2016-03-31,41.44,$-129.00,0.0
2015-12-31,52.22,$-138.00,0.0
2015-09-30,112.0,$-136.00,0.0
2015-06-30,140.98,$-86.00,0.0
2015-03-31,324.0,$-82.00,0.0
2014-12-31,324.0,$-64.00,0.0
2014-09-30,310.0,$-92.00,0.0
2014-06-30,498.0,$-92.00,0.0
2014-03-31,512.0,$-94.00,0.0
2013-12-31,404.0,$-152.00,0.0
2013-09-30,300.0,$-126.00,0.0
2013-06-30,284.0,$-118.00,0.0
2013-03-31,312.0,$-112.00,0.0
2012-12-31,280.0,$-74.00,0.0
2012-09-30,270.0,$-122.00,0.0
2012-06-30,300.0,$-112.00,0.0
2012-03-31,338.0,$-128.00,0.0
2011-12-31,274.0,$-144.00,0.0
2011-09-30,238.0,$-114.00,0.0
2011-06-30,338.0,$-184.00,0.0
2011-03-31,354.0,$-192.00,0.0
2010-12-31,336.0,$-252.00,0.0
2010-09-30,262.0,$-272.00,0.0
2010-06-30,260.02,$-208.00,0.0
2010-03-31,330.0,$-210.00,0.0
2009-12-31,246.0,$-172.00,0.0
