Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,145.87,,36.11
2024-12-31,149.6,$4.04,37.03
2024-09-30,178.33,$3.82,46.68
2024-06-30,152.42,$3.87,39.38
2024-03-31,142.69,$4.49,31.78
2023-12-31,153.88,$4.94,31.15
2023-09-30,115.48,$5.44,21.23
2023-06-30,139.77,$6.13,22.8
2023-03-31,151.29,$6.36,23.79
2022-12-31,135.27,$6.41,21.1
2022-09-30,157.24,$6.89,22.82
2022-06-30,153.68,$6.64,23.14
2022-03-31,183.99,$6.16,29.87
2021-12-31,201.32,$6.18,32.58
2021-09-30,148.28,$5.37,27.61
2021-06-30,143.62,$4.85,29.61
2021-03-31,115.48,$4.40,26.25
2020-12-31,100.18,$3.70,27.08
2020-09-30,91.76,$3.37,27.23
2020-06-30,78.59,$3.32,23.67
2020-03-31,80.72,$3.33,24.24
2019-12-31,88.21,$3.24,27.22
2019-09-30,96.71,$3.18,30.41
2019-06-30,87.16,$3.37,25.86
2019-03-31,83.03,$3.31,25.08
2018-12-31,73.09,$3.27,22.35
2018-09-30,69.37,$4.16,16.68
2018-06-30,79.16,$3.88,20.4
2018-03-31,68.68,$3.82,17.98
2017-12-31,68.14,$3.76,18.12
2017-09-30,61.71,$2.72,22.69
2017-06-30,59.64,$2.91,20.49
2017-03-31,56.29,$2.88,19.55
2016-12-31,57.83,$2.90,19.94
2016-09-30,58.82,$2.32,25.36
2016-06-30,67.86,$1.97,34.44
2016-03-31,67.93,$1.78,38.16
2015-12-31,63.68,$1.58,40.3
2015-09-30,55.32,$1.90,29.12
2015-06-30,46.38,$1.79,25.91
2015-03-31,47.64,$1.68,28.35
2014-12-31,41.04,$1.53,26.83
2014-09-30,35.81,$1.80,19.89
2014-06-30,36.65,$1.59,23.05
2014-03-31,33.09,$1.54,21.49
2013-12-31,28.51,$1.51,18.88
2013-09-30,30.66,$1.19,25.76
2013-06-30,27.84,$1.30,21.42
2013-03-31,25.82,$1.21,21.34
2012-12-31,23.77,$1.14,20.85
2012-09-30,21.57,$0.97,22.24
2012-06-30,19.62,$0.76,25.82
2012-03-31,18.33,$0.65,28.2
2011-12-31,15.31,$0.53,28.9
2011-09-30,11.71,$0.46,25.45
2011-06-30,13.31,$0.39,34.14
2011-03-31,12.84,$0.35,36.68
2010-12-31,10.71,$0.30,35.7
2010-09-30,9.81,$0.27,36.35
2010-06-30,8.45,$0.25,33.81
2010-03-31,7.66,$0.09,85.09
2009-12-31,6.92,$0.37,18.7
