Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.38,,21.96
2024-12-31,55.91,$2.75,20.33
2024-09-30,71.51,$-4.64,0.0
2024-06-30,57.24,$-7.46,0.0
2024-03-31,54.68,$-10.14,0.0
2023-12-31,48.7,$-10.72,0.0
2023-09-30,62.12,$-4.01,0.0
2023-06-30,60.18,$-1.85,0.0
2023-03-31,49.31,$0.86,57.33
2022-12-31,55.37,$1.46,37.93
2022-09-30,60.54,$2.98,20.32
2022-06-30,72.88,$3.88,18.78
2022-03-31,72.34,$2.69,26.89
2021-12-31,89.22,$3.09,28.87
2021-09-30,77.66,$3.26,23.82
2021-06-30,81.71,$3.04,26.88
2021-03-31,82.53,$2.96,27.88
2020-12-31,79.74,$1.61,49.53
2020-09-30,69.94,$2.86,24.46
2020-06-30,62.79,$2.92,21.5
2020-03-31,59.38,$3.28,18.1
2019-12-31,87.07,$4.00,21.77
2019-09-30,97.17,$2.06,47.17
2019-06-30,86.04,$2.45,35.12
2019-03-31,68.76,$2.82,24.38
2018-12-31,65.26,$1.71,38.16
2018-09-30,83.85,$1.60,52.41
2018-06-30,73.17,$1.63,44.89
2018-03-31,66.35,$1.68,39.49
2017-12-31,71.11,$3.12,22.79
2017-09-30,75.94,$4.68,16.23
2017-06-30,86.24,$4.62,18.67
2017-03-31,76.76,$4.50,17.06
2016-12-31,59.46,$4.34,13.7
2016-09-30,60.27,$4.21,14.31
2016-06-30,63.41,$3.82,16.6
2016-03-31,60.11,$3.74,16.07
2015-12-31,50.24,$3.57,14.07
2015-09-30,53.49,$3.52,15.2
2015-06-30,55.14,$3.28,16.81
2015-03-31,46.32,$3.21,14.43
2014-12-31,39.96,$3.24,12.33
2014-09-30,39.67,$2.88,13.77
2014-06-30,37.94,$2.94,12.91
2014-03-31,39.47,$2.96,13.34
2013-12-31,38.73,$2.67,14.5
2013-09-30,32.93,$2.68,12.29
2013-06-30,31.05,$2.46,12.62
2013-03-31,30.18,$2.51,12.02
2012-12-31,24.66,$2.54,9.71
2012-09-30,25.71,$2.61,9.85
2012-06-30,22.59,$2.64,8.56
2012-03-31,24.25,$2.73,8.88
2011-12-31,20.88,$2.87,7.28
2011-09-30,21.19,$2.80,7.57
2011-06-30,28.33,$2.62,10.81
2011-03-31,30.01,$2.49,12.05
2010-12-31,30.05,$2.77,10.85
2010-09-30,28.2,$2.87,9.83
2010-06-30,25.88,$2.77,9.34
2010-03-31,23.96,$2.74,8.74
2009-12-31,19.93,$2.48,8.04
