Resources Connection PE Ratio Historical Data,Resources Connection PE Ratio Historical Data,Resources Connection PE Ratio Historical Data,Resources Connection PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.85,,0.0
2024-11-30,8.44,$-1.86,0.0
2024-08-31,10.26,$0.36,28.49
2024-05-31,11.11,$0.62,17.92
2024-02-29,13.25,$0.66,20.08
2023-11-30,12.9,$0.79,16.33
2023-08-31,14.57,$1.16,12.56
2023-05-31,14.22,$1.60,8.89
2023-02-28,16.65,$1.86,8.95
2022-11-30,17.66,$2.23,7.92
2022-08-31,17.75,$2.14,8.29
2022-05-31,16.66,$2.00,8.33
2022-02-28,14.85,$2.09,7.11
2021-11-30,15.24,$1.53,9.96
2021-08-31,13.91,$1.08,12.88
2021-05-31,12.72,$0.76,16.74
2021-02-28,11.02,$0.19,58.02
2020-11-30,10.35,$0.38,27.22
2020-08-31,10.38,$0.79,13.14
2020-05-31,9.18,$0.87,10.55
2020-02-29,10.32,$1.03,10.02
2019-11-30,12.6,$1.00,12.6
2019-08-31,13.37,$0.95,14.07
2019-05-31,12.3,$0.98,12.55
2019-02-28,13.8,$0.81,17.04
2018-11-30,13.28,$0.77,17.25
2018-08-31,12.95,$0.71,18.23
2018-05-31,12.92,$0.60,21.53
2018-02-28,11.97,$0.63,19.0
2017-11-30,12.26,$0.58,21.14
2017-08-31,9.66,$0.47,20.56
2017-05-31,9.42,$0.55,17.13
2017-02-28,12.58,$0.63,19.97
2016-11-30,11.91,$0.70,17.01
2016-08-31,11.08,$0.77,14.4
2016-05-31,11.36,$0.81,14.03
2016-02-29,10.05,$0.79,12.72
2015-11-30,13.13,$0.79,16.61
2015-08-31,11.22,$0.77,14.57
2015-05-31,11.15,$0.72,15.49
2015-02-28,12.54,$0.69,18.17
2014-11-30,10.68,$0.59,18.11
2014-08-31,10.72,$0.56,19.15
2014-05-31,8.64,$0.51,16.94
2014-02-28,9.49,$0.46,20.64
2013-11-30,9.8,$0.51,19.22
2013-08-31,8.39,$0.47,17.85
2013-05-31,7.47,$0.50,14.95
2013-02-28,8.28,$0.58,14.28
2012-11-30,7.84,$0.57,13.75
2012-08-31,7.51,$1.01,7.44
2012-05-31,8.02,$0.95,8.44
2012-02-29,8.7,$0.86,10.12
2011-11-30,7.1,$0.78,9.1
2011-08-31,6.9,$0.58,11.9
2011-05-31,9.26,$0.55,16.84
2011-02-28,12.63,$0.48,26.31
2010-11-30,10.93,$0.35,31.23
2010-08-31,7.23,$-0.07,0.0
2010-05-31,10.49,$-0.26,0.0
2010-02-28,11.07,$-0.45,0.0
2009-11-30,12.52,$-0.29,0.0
