Granite Point Mortgage Trust PE Ratio Historical Data,Granite Point Mortgage Trust PE Ratio Historical Data,Granite Point Mortgage Trust PE Ratio Historical Data,Granite Point Mortgage Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.83,,0.0
2024-12-31,2.79,$-4.39,0.0
2024-09-30,3.12,$-3.86,0.0
2024-06-30,2.87,$-3.65,0.0
2024-03-31,4.61,$-2.31,0.0
2023-12-31,5.57,$-1.50,0.0
2023-09-30,4.43,$-1.36,0.0
2023-06-30,4.62,$-1.44,0.0
2023-03-31,4.17,$-1.79,0.0
2022-12-31,4.33,$-1.05,0.0
2022-09-30,5.01,$-0.74,0.0
2022-06-30,7.17,$0.15,47.81
2022-03-31,8.12,$0.71,11.44
2021-12-31,8.36,$1.14,7.34
2021-09-30,9.21,$1.41,6.53
2021-06-30,10.12,$0.63,16.07
2021-03-31,8.08,$0.36,22.44
2020-12-31,6.6,$-0.77,0.0
2020-09-30,4.36,$-0.84,0.0
2020-06-30,4.42,$-0.07,0.0
2020-03-31,3.12,$0.29,10.75
2019-12-31,11.3,$1.31,8.63
2019-09-30,11.01,$1.36,8.1
2019-06-30,11.03,$1.41,7.82
2019-03-31,10.68,$1.42,7.52
2018-12-31,10.14,$1.41,7.19
2018-09-30,10.36,$1.37,7.56
2018-06-30,9.86,$1.27,7.77
2018-03-31,8.7,$0.93,9.35
