Alico PE Ratio Historical Data,Alico PE Ratio Historical Data,Alico PE Ratio Historical Data,Alico PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.44,,0.0
2024-12-31,25.93,$-5.92,0.0
2024-09-30,27.97,$0.92,30.4
2024-06-30,25.86,$3.42,7.56
2024-03-31,29.17,$5.25,5.56
2023-12-31,28.92,$6.30,4.59
2023-09-30,24.78,$0.25,99.13
2023-06-30,25.23,$-2.65,0.0
2023-03-31,23.93,$-3.85,0.0
2022-12-31,23.56,$-0.09,0.0
2022-09-30,27.81,$1.66,16.76
2022-06-30,34.48,$4.31,8.0
2022-03-31,35.87,$7.56,4.74
2021-12-31,34.86,$5.47,6.37
2021-09-30,31.8,$4.64,6.85
2021-06-30,32.59,$7.06,4.62
2021-03-31,26.96,$3.73,7.23
2020-12-31,27.83,$3.56,7.82
2020-09-30,25.53,$3.16,8.08
2020-06-30,27.7,$3.08,8.99
2020-03-31,27.51,$4.97,5.54
2019-12-31,31.67,$5.50,5.76
2019-09-30,29.99,$5.06,5.93
2019-06-30,26.7,$2.94,9.08
2019-03-31,23.9,$1.86,12.85
2018-12-31,25.85,$0.18,143.62
2018-09-30,29.56,$1.56,18.95
2018-06-30,27.68,$-0.82,0.0
2018-03-31,23.7,$-1.25,0.0
2017-12-31,25.65,$0.12,213.75
2017-09-30,29.63,$-1.14,0.0
2017-06-30,27.11,$0.74,36.64
2017-03-31,22.83,$0.64,35.66
2016-12-31,23.42,$0.99,23.66
2016-09-30,23.12,$0.84,27.52
2016-06-30,25.98,$0.95,27.35
2016-03-31,23.66,$1.33,17.79
2015-12-31,33.09,$0.62,53.37
2015-09-30,34.66,$1.76,19.69
2015-06-30,38.67,$2.54,15.23
2015-03-31,43.65,$1.75,24.94
2014-12-31,42.55,$1.96,21.71
2014-09-30,32.37,$1.08,29.97
2014-06-30,31.8,$2.20,14.45
2014-03-31,31.93,$2.60,12.28
2013-12-31,32.81,$2.43,13.5
2013-09-30,34.65,$2.67,12.98
2013-06-30,33.69,$1.00,33.69
2013-03-31,38.77,$1.76,22.03
2012-12-31,30.65,$2.39,12.83
2012-09-30,26.08,$2.51,10.39
2012-06-30,25.47,$2.38,10.7
2012-03-31,19.25,$1.88,10.24
2011-12-31,16.1,$1.24,12.99
2011-09-30,16.21,$0.97,16.71
2011-06-30,21.15,$0.78,27.11
2011-03-31,22.1,$0.28,78.91
2010-12-31,19.68,$0.09,218.64
2010-09-30,19.11,$-0.09,0.0
2010-06-30,18.9,$-0.54,0.0
2010-03-31,20.76,$-0.77,0.0
2009-12-31,23.4,$-0.67,0.0
