Maplebear PE Ratio Historical Data,Maplebear PE Ratio Historical Data,Maplebear PE Ratio Historical Data,Maplebear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.93,,24.64
2024-12-31,41.42,$1.58,26.22
2024-09-30,40.74,$1.49,27.34
2024-06-30,32.14,$-19.79,0.0
