Carisma Therapeutics PE Ratio Historical Data,Carisma Therapeutics PE Ratio Historical Data,Carisma Therapeutics PE Ratio Historical Data,Carisma Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.42,,0.0
2024-09-30,0.98,$-1.56,0.0
2024-06-30,1.52,$-1.78,0.0
2024-03-31,2.27,$-2.00,0.0
2023-12-31,2.93,$-3.47,0.0
2023-09-30,4.23,$-3.75,0.0
2023-06-30,8.77,$-1.22,0.0
2023-03-31,3.1,$-3.93,0.0
2022-12-31,12.19,$-2.00,0.0
2022-09-30,8.5,$-0.40,0.0
2022-06-30,16.21,$4.80,3.38
2022-03-31,12.05,$5.00,2.41
2021-12-31,16.3,$-2.00,0.0
2021-09-30,15.86,$-5.00,0.0
2021-06-30,92.4,$-16.00,0.0
2021-03-31,52.0,$-17.80,0.0
2020-12-31,27.0,$-4.60,0.0
2020-09-30,28.0,$-8.80,0.0
2020-06-30,14.4,$-7.60,0.0
2020-03-31,11.21,$-16.20,0.0
2019-12-31,20.8,$-24.00,0.0
2019-09-30,23.4,$-19.40,0.0
2019-06-30,30.0,$-20.40,0.0
2019-03-31,20.6,$-10.20,0.0
2018-12-31,28.4,$-10.80,0.0
2018-09-30,43.0,$-13.40,0.0
2018-06-30,39.0,$-17.20,0.0
2018-03-31,21.0,$-20.00,0.0
2017-12-31,16.22,$-22.80,0.0
2017-09-30,31.6,$-21.40,0.0
2017-06-30,31.4,$4.20,7.48
2017-03-31,44.0,$3.60,12.22
2016-12-31,38.2,$0.80,47.75
2016-09-30,56.0,$-6.80,0.0
2016-06-30,33.4,$-35.00,0.0
2016-03-31,6.38,$-35.60,0.0
2015-12-31,60.2,$-35.00,0.0
2015-09-30,48.2,$-34.20,0.0
2015-06-30,56.4,$-37.40,0.0
2015-03-31,178.4,$-40.40,0.0
2014-12-31,237.6,$-49.20,0.0
