BP PE Ratio Historical Data,BP PE Ratio Historical Data,BP PE Ratio Historical Data,BP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.75,,434.38
2024-12-31,29.56,$0.08,369.5
2024-09-30,30.88,$0.95,32.5
2024-06-30,35.01,$2.54,13.78
2024-03-31,36.11,$3.19,11.32
2023-12-31,33.52,$5.09,6.58
2023-09-30,36.21,$8.46,4.28
2023-06-30,32.61,$6.11,5.34
2023-03-31,34.68,$8.34,4.16
2022-12-31,31.62,$-0.63,0.0
2022-09-30,25.56,$-3.43,0.0
2022-06-30,25.1,$-3.50,0.0
2022-03-31,25.74,$-5.41,0.0
2021-12-31,23.08,$2.23,10.35
2021-09-30,23.41,$1.93,12.13
2021-06-30,22.34,$2.56,8.73
2021-03-31,20.35,$-3.36,0.0
2020-12-31,16.91,$-6.03,0.0
2020-09-30,14.11,$-6.42,0.0
2020-06-30,18.6,$-6.51,0.0
2020-03-31,18.95,$-0.97,0.0
2019-12-31,28.82,$1.20,24.02
2019-09-30,28.57,$1.42,20.12
2019-06-30,30.85,$2.64,11.69
2019-03-31,32.35,$2.94,11.0
2018-12-31,27.65,$2.81,9.84
2018-09-30,33.61,$2.59,12.98
2018-06-30,32.83,$2.12,15.49
2018-03-31,28.77,$1.32,21.8
2017-12-31,29.39,$1.02,28.81
2017-09-30,26.48,$1.17,22.63
2017-06-30,23.48,$1.15,20.42
2017-03-31,23.0,$0.65,35.39
2016-12-31,24.47,$0.02,1223.69
2016-09-30,22.61,$-1.22,0.0
2016-06-30,22.43,$-1.71,0.0
2016-03-31,18.71,$-3.16,0.0
2015-12-31,18.97,$-2.12,0.0
2015-09-30,18.25,$-2.49,0.0
2015-06-30,23.47,$-2.09,0.0
2015-03-31,22.65,$0.91,24.89
2014-12-31,21.76,$1.20,18.13
2014-09-30,24.73,$2.98,8.3
2014-06-30,29.32,$3.67,7.99
2014-03-31,26.43,$3.22,8.21
2013-12-31,26.4,$7.36,3.59
2013-09-30,22.55,$7.70,2.93
2013-06-30,22.11,$8.29,2.67
2013-03-31,22.16,$7.21,3.07
2012-12-31,21.51,$3.78,5.69
2012-09-30,21.61,$5.51,3.92
2012-06-30,20.45,$5.44,3.76
2012-03-31,22.42,$7.67,2.92
2011-12-31,21.07,$8.09,2.6
2011-09-30,17.61,$7.47,2.36
2011-06-30,21.42,$6.41,3.34
2011-03-31,21.15,$-0.80,0.0
2010-12-31,20.97,$-1.13,0.0
2010-09-30,19.54,$-1.53,0.0
2010-06-30,13.71,$-0.42,0.0
2010-03-31,26.65,$6.38,4.18
2009-12-31,26.66,$5.26,5.07
