InspireMD PE Ratio Historical Data,InspireMD PE Ratio Historical Data,InspireMD PE Ratio Historical Data,InspireMD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.75,,0.0
2024-12-31,2.63,$-0.59,0.0
2024-09-30,2.68,$-0.75,0.0
2024-06-30,2.5,$-0.74,0.0
2024-03-31,2.37,$-0.76,0.0
2023-12-31,2.81,$-1.08,0.0
2023-09-30,3.27,$-1.52,0.0
2023-06-30,2.51,$-1.95,0.0
2023-03-31,1.13,$-2.30,0.0
2022-12-31,0.86,$-2.34,0.0
2022-09-30,1.48,$-2.27,0.0
2022-06-30,2.0,$-2.22,0.0
2022-03-31,3.2,$-2.09,0.0
2021-12-31,3.02,$-2.05,0.0
2021-09-30,4.1,$-3.02,0.0
2021-06-30,5.05,$-3.39,0.0
2021-03-31,10.08,$-5.93,0.0
2020-12-31,5.11,$-11.84,0.0
2020-09-30,4.76,$-18.89,0.0
2020-06-30,6.98,$-36.88,0.0
2020-03-31,9.26,$-57.72,0.0
2019-12-31,16.2,$-108.55,0.0
2019-09-30,19.5,$-137.48,0.0
2019-06-30,51.15,$-156.07,0.0
2019-03-31,105.0,$-244.68,0.0
2018-12-31,119.17,$-982.01,0.0
2018-09-30,165.0,"$-6,476.76",0.0
2018-06-30,186.75,"$-11,419.31",0.0
2018-03-31,780.0,"$-16,811.11",0.0
2017-12-31,3370.5,"$-37,247.15",0.0
2017-09-30,10526.26,"$-54,780.31",0.0
2017-06-30,17587.51,"$-72,341.46",0.0
2017-03-31,25987.51,"$-191,337.92",0.0
2016-12-31,65625.03,"$-379,792.67",0.0
2016-09-30,54009.4,"$-599,175.98",0.0
2016-06-30,210000.11,"$-891,162.90",0.0
2016-03-31,331406.42,"$-1,094,295.60",0.0
2015-12-31,577500.29,"$-1,539,877.00",0.0
2015-09-30,1082813.04,"$-2,083,748.60",0.0
2015-06-30,1837500.92,"$-3,079,754.50",0.0
2015-03-31,2100001.05,"$-4,193,708.10",0.0
2014-12-31,5102346.3,"$-4,717,921.30",0.0
2014-09-30,14437507.22,"$-3,931,601.00",0.0
2014-06-30,19359384.68,"$-3,407,387.30",0.0
2014-03-31,20015635.01,"$-5,111,080.30",0.0
2013-12-31,16143758.07,"$-5,700,821.30",0.0
2013-09-30,15290632.65,"$-5,700,821.30",0.0
2013-06-30,14503132.25,"$-7,797,675.00",0.0
2013-03-31,16537508.27,"$-4,652,395.00",0.0
