"PURPLE INNOVATION, INC PE Ratio Historical Data","PURPLE INNOVATION, INC PE Ratio Historical Data","PURPLE INNOVATION, INC PE Ratio Historical Data","PURPLE INNOVATION, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.85,,0.0
2024-12-31,0.78,$-0.83,0.0
2024-09-30,0.99,$-1.00,0.0
2024-06-30,1.04,$-0.98,0.0
2024-03-31,1.74,$-1.34,0.0
2023-12-31,1.03,$-1.11,0.0
2023-09-30,1.71,$-1.71,0.0
2023-06-30,2.78,$-1.34,0.0
2023-03-31,2.64,$-1.08,0.0
2022-12-31,4.79,$-1.04,0.0
2022-09-30,4.05,$-0.66,0.0
2022-06-30,3.06,$-0.74,0.0
2022-03-31,5.85,$-0.67,0.0
2021-12-31,13.27,$-0.30,0.0
2021-09-30,21.02,$0.06,350.33
2021-06-30,26.41,$0.09,293.44
2021-03-31,31.65,$0.01,3165.0
2020-12-31,32.94,$-0.05,0.0
2020-09-30,24.86,$-0.31,0.0
2020-06-30,18.0,$-0.13,0.0
2020-03-31,5.68,$-0.18,0.0
2019-12-31,8.71,$-0.31,0.0
2019-09-30,7.53,$-0.14,0.0
2019-06-30,6.75,$-0.39,0.0
2019-03-31,4.64,$-0.32,0.0
2018-12-31,5.89,$-0.47,0.0
2018-09-30,5.8,$-0.35,0.0
2018-06-30,8.5,$-0.26,0.0
2018-03-31,8.22,$-0.18,0.0
2017-12-31,10.05,$-0.05,0.0
2017-09-30,10.03,$-0.49,0.0
2017-06-30,9.95,$-0.52,0.0
2017-03-31,10.0,$-0.52,0.0
2016-12-31,9.94,$-0.49,0.0
2016-09-30,9.88,$-0.05,0.0
