Seaboard PE Ratio Historical Data,Seaboard PE Ratio Historical Data,Seaboard PE Ratio Historical Data,Seaboard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2711.47,,29.92
2024-12-31,2429.66,$90.62,26.81
2024-09-30,3134.34,$-3.29,0.0
2024-06-30,3155.77,$258.70,12.2
2024-03-31,3216.68,$240.68,13.36
2023-12-31,3559.71,$204.24,17.43
2023-09-30,3739.71,$331.68,11.28
2023-06-30,3545.91,$348.91,10.16
2023-03-31,3752.11,$396.64,9.46
2022-12-31,3755.17,$499.70,7.51
2022-09-30,3382.66,$410.86,8.23
2022-06-30,3857.64,$366.58,10.52
2022-03-31,4175.98,$425.61,9.81
2021-12-31,3905.05,$490.36,7.96
2021-09-30,4066.48,$609.61,6.67
2021-06-30,3835.03,$654.28,5.86
2021-03-31,3655.64,$480.37,7.61
2020-12-31,3000.73,$237.91,12.61
2020-09-30,2806.57,$165.30,16.98
2020-06-30,2900.32,$33.13,87.54
2020-03-31,2778.51,$105.61,26.31
2019-12-31,4195.98,$242.83,17.28
2019-09-30,4316.56,$15.34,281.39
2019-06-30,4079.07,$51.24,79.61
2019-03-31,4222.71,$7.39,571.41
2018-12-31,3484.81,$-14.65,0.0
2018-09-30,3652.74,$82.31,44.38
2018-06-30,3899.94,$121.61,32.07
2018-03-31,4195.85,$165.84,25.3
2017-12-31,4336.88,$210.93,20.56
2017-09-30,4428.72,$279.38,15.85
2017-06-30,3925.96,$274.60,14.3
2017-03-31,4095.77,$292.43,14.01
2016-12-31,3880.61,$266.50,14.56
2016-09-30,3377.86,$267.37,12.63
2016-06-30,2818.79,$205.54,13.71
2016-03-31,2948.77,$164.24,17.95
2015-12-31,2842.45,$146.82,19.36
2015-09-30,3023.38,$159.51,18.95
2015-06-30,3533.99,$246.41,14.34
2015-03-31,4057.36,$298.38,13.6
2014-12-31,4122.12,$310.44,13.28
2014-09-30,2626.67,$273.96,9.59
2014-06-30,2965.72,$210.46,14.09
2014-03-31,2574.1,$164.52,15.65
2013-12-31,2744.49,$171.95,15.96
2013-09-30,2698.36,$170.07,15.87
2013-06-30,2659.09,$206.00,12.91
2013-03-31,2749.41,$214.51,12.82
2012-12-31,2484.18,$234.53,10.59
2012-09-30,2208.31,$236.62,9.33
2012-06-30,2084.08,$204.77,10.18
2012-03-31,1906.27,$256.53,7.43
2011-12-31,1989.32,$284.64,6.99
2011-09-30,1760.67,$304.53,5.78
2011-06-30,2362.56,$307.20,7.69
2011-03-31,2357.68,$277.07,8.51
2010-12-31,1945.35,$231.80,8.39
2010-09-30,1724.52,$157.20,10.97
2010-06-30,1469.74,$154.15,9.53
2010-03-31,1263.87,$112.70,11.21
2009-12-31,1311.7,$74.75,17.55
