Aytu BioPharma PE Ratio Historical Data,Aytu BioPharma PE Ratio Historical Data,Aytu BioPharma PE Ratio Historical Data,Aytu BioPharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.25,,0.0
2024-12-31,1.7,$-1.45,0.0
2024-09-30,2.35,$-1.23,0.0
2024-06-30,2.92,$-2.86,0.0
2024-03-31,3.04,$-2.63,0.0
2023-12-31,2.84,$-4.04,0.0
2023-09-30,2.7,$-6.15,0.0
2023-06-30,1.6,$-5.87,0.0
2023-03-31,2.24,$-15.08,0.0
2022-12-31,3.78,$-48.95,0.0
2022-09-30,3.7,$-55.60,0.0
2022-06-30,13.8,$-76.20,0.0
2022-03-31,21.6,$-82.60,0.0
2021-12-31,27.0,$-75.00,0.0
2021-09-30,57.6,$-80.60,0.0
2021-06-30,100.2,$-66.80,0.0
2021-03-31,152.0,$-50.60,0.0
2020-12-31,119.6,$-52.40,0.0
2020-09-30,238.0,$-40.00,0.0
2020-06-30,284.0,$-96.00,0.0
2020-03-31,300.0,$-356.00,0.0
2019-12-31,194.5,$-426.00,0.0
2019-09-30,242.0,$-568.00,0.0
2019-06-30,378.0,$-896.00,0.0
2019-03-31,334.0,$-636.00,0.0
2018-12-31,158.48,"$-1,496.00",0.0
2018-09-30,552.0,"$-4,912.00",0.0
