Civista Bancshares PE Ratio Historical Data,Civista Bancshares PE Ratio Historical Data,Civista Bancshares PE Ratio Historical Data,Civista Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.64,,14.13
2024-12-31,21.04,$1.39,15.14
2024-09-30,17.68,$2.01,8.8
2024-06-30,15.22,$2.14,7.11
2024-03-31,14.94,$2.33,6.41
2023-12-31,17.73,$2.74,6.47
2023-09-30,14.75,$2.89,5.1
2023-06-30,16.41,$2.95,5.56
2023-03-31,15.76,$2.84,5.55
2022-12-31,20.42,$2.59,7.88
2022-09-30,19.14,$2.55,7.51
2022-06-30,19.48,$2.47,7.89
2022-03-31,21.93,$2.53,8.67
2021-12-31,22.08,$2.64,8.36
2021-09-30,20.9,$2.55,8.2
2021-06-30,19.76,$2.39,8.27
2021-03-31,20.41,$2.21,9.23
2020-12-31,15.49,$2.00,7.75
2020-09-30,10.98,$1.83,6.0
2020-06-30,13.4,$1.81,7.4
2020-03-31,12.91,$1.91,6.76
2019-12-31,20.62,$2.01,10.26
2019-09-30,18.58,$1.99,9.33
2019-06-30,19.09,$1.22,15.65
2019-03-31,18.47,$0.95,19.44
2018-12-31,14.67,$0.93,15.78
2018-09-30,20.21,$0.80,25.27
2018-06-30,20.26,$1.40,14.47
2018-03-31,19.05,$1.45,13.14
2017-12-31,18.28,$1.30,14.06
2017-09-30,18.51,$1.31,14.13
2017-06-30,17.25,$1.36,12.68
2017-03-31,18.25,$1.54,11.85
2016-12-31,15.96,$1.57,10.16
2016-09-30,11.6,$1.53,7.58
2016-06-30,10.67,$1.49,7.16
2016-03-31,8.36,$1.31,6.38
2015-12-31,10.35,$1.17,8.85
2015-09-30,8.13,$1.09,7.46
2015-06-30,8.63,$1.00,8.63
2015-03-31,8.78,$0.92,9.54
2014-12-31,8.14,$0.85,9.57
2014-09-30,7.86,$0.74,10.62
2014-06-30,7.06,$0.70,10.08
2014-03-31,7.19,$0.67,10.73
2013-12-31,5.05,$0.66,7.65
2013-09-30,5.37,$0.78,6.89
2013-06-30,5.52,$0.75,7.36
2013-03-31,5.28,$0.65,8.12
2012-12-31,3.97,$0.57,6.97
2012-09-30,4.03,$0.50,8.06
2012-06-30,4.43,$0.48,9.23
2012-03-31,4.17,$0.43,9.69
2011-12-31,2.98,$0.36,8.28
2011-09-30,2.44,$0.21,11.64
2011-06-30,2.78,$-0.13,0.0
2011-03-31,3.07,$-0.23,0.0
2010-12-31,2.92,$-0.32,0.0
2010-09-30,2.97,$-0.36,0.0
2010-06-30,3.38,$-0.11,0.0
2010-03-31,3.29,$-0.03,0.0
2009-12-31,3.41,$0.09,37.93
