Universal Stainless & Alloy Products PE Ratio Historical Data,Universal Stainless & Alloy Products PE Ratio Historical Data,Universal Stainless & Alloy Products PE Ratio Historical Data,Universal Stainless & Alloy Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,44.08,,21.93
2024-09-30,38.63,$2.01,19.22
2024-03-31,22.42,$1.00,22.42
2023-12-31,20.08,$0.51,39.37
2023-09-30,13.11,$-0.17,0.0
2023-06-30,14.01,$-0.51,0.0
2023-03-31,9.35,$-0.77,0.0
2022-12-31,7.17,$-0.89,0.0
2022-09-30,7.12,$-0.66,0.0
2022-06-30,7.4,$0.35,21.14
2022-03-31,8.68,$0.23,37.74
2021-12-31,7.94,$-0.42,0.0
2021-09-30,10.17,$-1.03,0.0
2021-06-30,10.12,$-2.28,0.0
2020-12-31,7.48,$-2.16,0.0
2020-09-30,5.49,$-1.31,0.0
2020-06-30,8.6,$-1.03,0.0
2020-03-31,7.71,$-0.56,0.0
2019-12-31,14.9,$-0.16,0.0
2021-03-31,10.17,$-0.04,0.0
2019-09-30,15.6,$0.54,28.89
2019-06-30,16.0,$0.89,17.98
2019-03-31,16.57,$1.15,14.41
2018-12-31,16.21,$1.29,12.57
2018-09-30,25.51,$2.28,11.19
2018-06-30,23.67,$1.80,13.15
2018-03-31,27.5,$1.47,18.71
2017-12-31,21.42,$1.02,21.0
2017-09-30,20.85,$-0.26,0.0
2017-06-30,19.5,$-0.29,0.0
2017-03-31,17.0,$-0.57,0.0
2016-12-31,13.51,$-0.74,0.0
2016-09-30,10.5,$-1.00,0.0
2016-06-30,10.9,$-3.34,0.0
2016-03-31,10.19,$-3.28,0.0
2015-12-31,9.29,$-2.92,0.0
2015-09-30,10.58,$-2.20,0.0
2015-06-30,19.65,$0.41,47.93
2015-03-31,26.22,$0.66,39.73
2014-12-31,25.15,$0.23,109.35
2014-09-30,26.36,$-0.26,0.0
2014-06-30,32.48,$-0.40,0.0
2013-12-31,36.06,$-0.59,0.0
2013-09-30,32.19,$-0.02,0.0
2013-06-30,29.48,$0.16,184.25
2013-03-31,36.35,$0.48,75.73
2012-12-31,36.77,$1.09,33.73
2014-03-31,33.77,$1.79,18.87
2012-09-30,37.15,$2.45,15.16
2012-06-30,41.1,$2.62,15.69
2012-03-31,42.72,$2.79,15.31
2011-12-31,37.36,$2.57,14.54
2011-09-30,25.42,$2.50,10.17
2011-06-30,46.76,$2.55,18.34
2011-03-31,33.73,$2.37,14.23
2010-12-31,31.28,$1.87,16.73
2010-09-30,24.56,$1.40,17.54
2010-06-30,15.99,$0.74,21.61
2009-12-31,18.86,$-0.44,0.0
2009-09-30,18.25,$-0.37,0.0
2009-06-30,16.27,$0.48,33.9
