TuHURA Biosciences PE Ratio Historical Data,TuHURA Biosciences PE Ratio Historical Data,TuHURA Biosciences PE Ratio Historical Data,TuHURA Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.0,,0.0
2024-09-30,238.88,$-11.51,0.0
2024-06-30,330.87,$-74.13,0.0
2024-03-31,127.4,$-142.31,0.0
2023-12-31,207.76,$-208.39,0.0
2023-09-30,4949.0,$-273.43,0.0
2023-06-30,4936.75,$-331.82,0.0
2023-03-31,4323.02,$-386.02,0.0
2022-12-31,8440.25,$-510.49,0.0
2022-09-30,6615.0,$-646.85,0.0
2022-06-30,17027.5,$-961.54,0.0
2022-03-31,24371.37,"$-1,066.43",0.0
2021-12-31,31237.5,"$-1,276.22",0.0
2021-09-30,52687.25,"$-1,451.05",0.0
2021-06-30,139037.5,"$-3,339.16",0.0
2021-03-31,106575.0,"$-3,723.78",0.0
2020-12-31,78400.0,"$-3,618.88",0.0
2020-09-30,85750.0,"$-3,496.50",0.0
2020-06-30,42127.75,"$-1,538.46",0.0
2020-03-31,24392.2,"$-2,482.52",0.0
2019-12-31,42244.12,"$-3,356.64",0.0
2019-09-30,33865.12,"$-4,493.01",0.0
2019-06-30,79012.5,"$-5,699.30",0.0
2019-03-31,300124.99,"$-5,891.61",0.0
2018-12-31,209413.74,"$-6,993.01",0.0
2018-09-30,445593.74,"$-8,041.96",0.0
2018-06-30,418337.49,"$-9,615.39",0.0
2018-03-31,575749.98,"$-11,363.64",0.0
2017-12-31,667624.98,"$-12,237.76",0.0
2017-09-30,514499.98,"$-12,062.94",0.0
2017-06-30,1402624.96,"$-12,937.06",0.0
