Palatin Technologies PE Ratio Historical Data,Palatin Technologies PE Ratio Historical Data,Palatin Technologies PE Ratio Historical Data,Palatin Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.76,,0.0
2024-12-31,1.11,$-1.55,0.0
2024-09-30,0.89,$-1.99,0.0
2024-06-30,1.95,$-2.08,0.0
2024-03-31,1.87,$-2.48,0.0
2023-12-31,3.98,$-2.58,0.0
2023-09-30,1.51,$-2.15,0.0
2023-06-30,2.1,$-2.53,0.0
2023-03-31,2.75,$-2.96,0.0
2022-12-31,2.56,$-3.08,0.0
2022-09-30,5.92,$-3.95,0.0
2022-06-30,7.02,$-3.84,0.0
2022-03-31,11.5,$-4.00,0.0
2021-12-31,12.79,$-3.75,0.0
2021-09-30,11.07,$-3.75,0.0
2021-06-30,15.25,$-3.50,0.0
2021-03-31,17.24,$-2.75,0.0
2020-12-31,16.9,$-2.75,0.0
2020-09-30,11.82,$-2.25,0.0
2020-06-30,12.8,$-2.25,0.0
2020-03-31,10.59,$4.25,2.49
2019-12-31,19.56,$4.00,4.89
2019-09-30,22.72,$4.00,5.68
2019-06-30,29.0,$3.75,7.73
2019-03-31,24.51,$-0.50,0.0
2018-12-31,17.71,$0.25,70.84
2018-09-30,24.94,$1.00,24.94
2018-06-30,24.25,$3.00,8.08
2018-03-31,27.25,$3.25,8.38
2017-12-31,21.47,$2.75,7.81
2017-09-30,16.58,$1.00,16.58
2017-06-30,10.75,$-2.25,0.0
2017-03-31,8.19,$-6.25,0.0
2016-12-31,12.63,$-7.75,0.0
2016-09-30,15.73,$-8.25,0.0
2016-06-30,11.04,$-8.25,0.0
2016-03-31,13.5,$-8.25,0.0
2015-12-31,16.6,$-8.00,0.0
2015-09-30,20.25,$-5.25,0.0
2015-06-30,22.25,$-3.00,0.0
2015-03-31,25.5,$-1.75,0.0
2014-12-31,18.25,$-0.25,0.0
2014-09-30,23.25,$-1.75,0.0
2014-06-30,24.75,$-3.00,0.0
2014-03-31,30.75,$-3.00,0.0
2013-12-31,18.35,$-3.75,0.0
2013-09-30,17.25,$-3.50,0.0
2013-06-30,15.5,$-6.25,0.0
2013-03-31,15.0,$-8.75,0.0
2012-12-31,15.0,$-12.00,0.0
2012-09-30,17.15,$-13.50,0.0
2012-06-30,12.5,$-12.25,0.0
2012-03-31,18.25,$-11.25,0.0
2011-12-31,10.05,$-11.25,0.0
2011-09-30,12.75,$-11.50,0.0
2011-06-30,32.0,$-18.75,0.0
2011-03-31,25.75,$-26.25,0.0
2010-12-31,33.75,$-27.00,0.0
2010-09-30,40.5,$-14.75,0.0
2010-06-30,45.0,$-5.00,0.0
2010-03-31,64.28,$5.00,12.86
2009-12-31,92.38,$10.00,9.24
