Titan Machinery PE Ratio Historical Data,Titan Machinery PE Ratio Historical Data,Titan Machinery PE Ratio Historical Data,Titan Machinery PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.63,,12.41
2024-10-31,13.73,$1.34,10.24
2024-07-31,17.83,$2.59,6.88
2024-04-30,22.26,$4.16,5.35
2024-01-31,26.73,$4.94,5.41
2023-10-31,24.84,$4.69,5.3
2023-07-31,31.92,$5.19,6.15
2023-04-30,31.35,$4.91,6.38
2023-01-31,43.94,$4.50,9.76
2022-10-31,34.38,$4.69,7.33
2022-07-31,28.13,$3.84,7.33
2022-04-30,23.58,$3.24,7.28
2022-01-31,30.8,$2.93,10.51
2021-10-31,28.42,$1.97,14.43
2021-07-31,28.53,$1.44,19.81
2021-04-30,26.11,$1.22,21.4
2021-01-31,21.3,$0.85,25.06
2020-10-31,14.99,$0.85,17.64
2020-07-31,10.87,$0.78,13.93
2020-04-30,9.4,$0.75,12.53
2020-01-31,12.21,$0.63,19.38
2019-10-31,16.6,$0.50,33.2
2019-07-31,20.74,$0.61,34.0
2019-04-30,17.2,$0.59,29.15
2019-01-31,18.74,$0.54,34.7
2018-10-31,14.25,$0.72,19.79
2018-07-31,15.14,$0.35,43.26
2018-04-30,19.32,$-0.12,0.0
2018-01-31,21.49,$-0.32,0.0
2017-10-31,14.89,$-0.78,0.0
2017-07-31,17.85,$-0.88,0.0
2017-04-30,15.85,$-0.76,0.0
2017-01-31,13.81,$-0.66,0.0
2016-10-31,9.29,$-1.90,0.0
2016-07-31,11.21,$-1.75,0.0
2016-04-30,13.0,$-1.63,0.0
2016-01-31,8.49,$-1.75,0.0
2015-10-31,12.23,$-1.41,0.0
2015-07-31,14.05,$-1.46,0.0
2015-04-30,14.65,$-1.49,0.0
2015-01-31,14.13,$-1.40,0.0
2014-10-31,13.76,$-0.14,0.0
2014-07-31,14.66,$0.02,733.0
2014-04-30,17.64,$0.23,76.7
2014-01-31,16.3,$0.41,39.76
2013-10-31,17.65,$1.16,15.22
2013-07-31,19.09,$1.55,12.32
2013-04-30,22.56,$1.62,13.93
2013-01-31,28.91,$2.00,14.46
2012-10-31,23.6,$2.11,11.18
2012-07-31,28.44,$2.06,13.81
2012-04-30,35.63,$2.11,16.89
2012-01-31,24.74,$2.15,11.51
2011-10-31,23.33,$1.88,12.41
2011-07-31,26.41,$1.69,15.63
2011-04-30,31.46,$1.54,20.43
2011-01-31,24.23,$1.23,19.7
2010-10-31,19.44,$0.85,22.87
2010-07-31,14.27,$0.75,19.03
2010-04-30,14.38,$0.87,16.53
2010-01-31,11.02,$0.88,12.52
2009-10-31,10.73,$0.87,12.33
