IT Tech Packaging Inc PE Ratio Historical Data,IT Tech Packaging Inc PE Ratio Historical Data,IT Tech Packaging Inc PE Ratio Historical Data,IT Tech Packaging Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.28,,0.0
2024-09-30,0.26,$-0.98,0.0
2024-06-30,0.23,$-0.98,0.0
2024-03-31,0.26,$-1.09,0.0
2023-12-31,0.31,$-0.99,0.0
2023-09-30,0.39,$-1.78,0.0
2023-06-30,0.47,$-1.61,0.0
2023-03-31,0.38,$-1.49,0.0
2022-12-31,0.46,$-1.52,0.0
2022-09-30,0.78,$0.37,2.1
2022-06-30,1.19,$0.70,1.7
2022-03-31,2.23,$0.60,3.71
2021-12-31,2.3,$-0.30,0.0
2021-09-30,3.87,$-1.60,0.0
2021-06-30,4.71,$-2.10,0.0
2021-03-31,6.6,$-2.40,0.0
2020-12-31,5.57,$-2.30,0.0
2020-09-30,4.91,$-0.70,0.0
2020-06-30,6.05,$0.60,10.08
2020-03-31,6.2,$1.20,5.17
2019-12-31,9.4,$1.10,8.55
2019-09-30,6.94,$-2.30,0.0
2019-06-30,7.05,$-4.10,0.0
2019-03-31,10.0,$-4.20,0.0
2018-12-31,6.33,$-4.90,0.0
2018-09-30,8.3,$-3.30,0.0
2018-06-30,10.0,$-1.90,0.0
2018-03-31,11.8,$-2.00,0.0
2017-12-31,12.9,$0.70,18.43
2017-09-30,8.2,$2.90,2.83
2017-06-30,10.36,$3.60,2.88
2017-03-31,9.87,$4.80,2.06
2016-12-31,11.6,$3.40,3.41
2016-09-30,10.5,$3.10,3.39
2016-06-30,10.5,$2.50,4.2
2016-03-31,12.28,$4.10,2.99
2015-12-31,14.83,$5.70,2.6
2015-09-30,15.99,$5.70,2.81
2015-06-30,16.36,$6.70,2.44
2015-03-31,18.5,$5.80,3.19
2014-12-31,11.03,$6.20,1.78
2014-09-30,13.7,$7.00,1.96
2014-06-30,21.5,$8.20,2.62
2014-03-31,24.1,$8.30,2.9
2013-12-31,26.6,$7.10,3.75
2013-09-30,17.17,$6.30,2.73
2013-06-30,15.07,$5.70,2.64
2013-03-31,17.64,$5.70,3.1
2012-12-31,17.74,$8.00,2.22
2012-09-30,19.79,$9.90,2.0
2012-06-30,25.25,$10.50,2.4
2012-03-31,36.3,$11.70,3.1
2011-12-31,31.63,$11.80,2.68
2011-09-30,26.18,$11.70,2.24
2011-06-30,33.96,$9.70,3.5
2011-03-31,44.96,$9.50,4.73
2010-12-31,61.89,$9.00,6.88
2010-09-30,42.23,$8.20,5.15
2010-06-30,65.0,$11.30,5.75
2010-03-31,81.25,$10.50,7.74
2009-12-31,101.98,$10.40,9.81
