Global Partners LP PE Ratio Historical Data,Global Partners LP PE Ratio Historical Data,Global Partners LP PE Ratio Historical Data,Global Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,54.48,,22.51
2024-12-31,46.55,$2.42,19.24
2024-09-30,45.87,$3.31,13.86
2024-06-30,44.16,$2.74,16.12
2024-03-31,42.29,$2.69,15.72
2023-12-31,39.69,$3.76,10.56
2023-09-30,32.44,$3.89,8.34
2023-06-30,27.62,$6.41,4.31
2023-03-31,27.29,$9.97,2.74
2022-12-31,29.33,$10.03,2.92
2022-09-30,20.45,$8.93,2.29
2022-06-30,18.99,$6.67,2.85
2022-03-31,21.55,$2.29,9.41
2021-12-31,18.16,$1.33,13.66
2021-09-30,15.97,$0.95,16.81
2021-06-30,19.09,$0.56,34.09
2021-03-31,15.38,$2.50,6.15
2020-12-31,11.65,$2.75,4.24
2020-09-30,8.9,$2.61,3.41
2020-06-30,6.42,$2.52,2.55
2020-03-31,5.57,$0.71,7.85
2019-12-31,12.41,$0.81,15.32
2019-09-30,11.77,$2.36,4.99
2019-06-30,11.65,$1.54,7.56
2019-03-31,11.2,$1.37,8.18
2018-12-31,9.05,$2.95,3.07
2018-09-30,9.87,$2.03,4.86
2018-06-30,9.02,$2.91,3.1
2018-03-31,7.9,$2.79,2.83
2017-12-31,8.37,$1.74,4.81
2017-09-30,8.5,$-0.75,0.0
2017-06-30,8.6,$-4.73,0.0
2017-03-31,9.06,$-5.02,0.0
2016-12-31,8.84,$-5.91,0.0
2016-09-30,7.13,$-4.04,0.0
2016-06-30,5.86,$-0.34,0.0
2016-03-31,5.56,$0.03,185.44
2015-12-31,7.02,$1.16,6.05
2015-09-30,11.08,$2.16,5.13
2015-06-30,12.41,$3.50,3.55
2015-03-31,13.09,$2.85,4.59
2014-12-31,12.2,$3.96,3.08
2014-09-30,15.17,$4.23,3.59
2014-06-30,14.56,$2.82,5.16
2014-03-31,12.91,$3.61,3.58
2013-12-31,12.3,$2.09,5.88
2013-09-30,11.89,$1.70,6.99
2013-06-30,13.43,$1.85,7.26
2013-03-31,11.87,$2.22,5.35
2012-12-31,8.25,$1.65,5.0
2012-09-30,8.33,$1.29,6.46
2012-06-30,7.11,$1.13,6.29
2012-03-31,7.1,$0.43,16.51
2011-12-31,6.54,$0.88,7.44
2011-09-30,5.13,$0.75,6.84
2011-06-30,7.25,$0.70,10.36
2011-03-31,7.28,$0.67,10.87
2010-12-31,7.54,$1.34,5.63
2010-09-30,6.71,$1.93,3.48
2010-06-30,5.96,$2.05,2.91
2010-03-31,5.8,$2.19,2.65
2009-12-31,5.84,$2.53,2.31
