German American Bancorp PE Ratio Historical Data,German American Bancorp PE Ratio Historical Data,German American Bancorp PE Ratio Historical Data,German American Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.34,,13.6
2024-12-31,40.22,$2.82,14.26
2024-09-30,38.52,$2.77,13.91
2024-06-30,34.89,$2.79,12.5
2024-03-31,33.91,$2.85,11.9
2023-12-31,31.45,$2.92,10.77
2023-09-30,26.06,$3.02,8.63
2023-06-30,25.93,$3.12,8.31
2023-03-31,31.54,$3.18,9.92
2022-12-31,35.03,$2.78,12.6
2022-09-30,33.34,$2.68,12.44
2022-06-30,31.72,$2.66,11.92
2022-03-31,35.03,$2.75,12.74
2021-12-31,35.73,$3.18,11.24
2021-09-30,35.24,$3.24,10.88
2021-06-30,33.75,$2.98,11.32
2021-03-31,41.72,$2.62,15.92
2020-12-31,29.7,$2.35,12.64
2020-09-30,24.21,$2.15,11.26
2020-06-30,27.57,$2.09,13.19
2020-03-31,24.17,$2.16,11.19
2019-12-31,31.19,$2.29,13.62
2019-09-30,27.92,$2.14,13.05
2019-06-30,26.1,$2.20,11.86
2019-03-31,25.33,$2.07,12.24
2018-12-31,23.79,$1.98,12.01
2018-09-30,30.08,$2.05,14.67
2018-06-30,30.44,$1.92,15.86
2018-03-31,28.2,$1.87,15.08
2017-12-31,29.74,$1.64,18.13
2017-09-30,31.89,$1.57,20.31
2017-06-30,28.48,$1.60,17.84
2017-03-31,26.26,$1.59,16.48
2016-12-31,29.07,$1.56,18.63
2016-09-30,21.41,$1.51,14.21
2016-06-30,17.49,$1.45,12.09
2016-03-31,17.52,$1.39,12.63
2015-12-31,18.02,$1.51,11.96
2015-09-30,15.75,$1.51,10.45
2015-06-30,15.76,$1.51,10.46
2015-03-31,15.65,$1.48,10.58
2014-12-31,16.14,$1.43,11.26
2014-09-30,13.58,$1.38,9.84
2014-06-30,14.16,$1.33,10.62
2014-03-31,15.01,$1.34,11.2
2013-12-31,14.67,$1.33,11.06
2013-09-30,12.95,$1.32,9.81
2013-06-30,11.5,$1.31,8.76
2013-03-31,11.67,$1.28,9.12
2012-12-31,10.94,$1.27,8.64
2012-09-30,12.07,$1.23,9.79
2012-06-30,10.19,$1.17,8.69
2012-03-31,9.59,$1.12,8.56
2011-12-31,8.92,$1.07,8.31
2011-09-30,7.84,$0.97,8.11
2011-06-30,8.0,$0.91,8.82
2011-03-31,8.22,$0.85,9.63
2010-12-31,8.74,$0.80,10.92
2010-09-30,8.08,$0.81,9.93
2010-06-30,7.14,$0.79,9.0
2010-03-31,7.0,$0.75,9.29
2009-12-31,7.44,$0.74,10.06
