Genenta Science S.p.A PE Ratio Historical Data,Genenta Science S.p.A PE Ratio Historical Data,Genenta Science S.p.A PE Ratio Historical Data,Genenta Science S.p.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.92,,inf
2024-06-30,3.1,0.0,0.0
2023-12-31,4.95,0.0,0.0
2023-06-30,5.89,0.0,0.0
